編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLLMLHLGFBJ48DA,20,104.92,住家用,鋼筋混凝土造,94年10月4日,十五層,三層 陽台 雨遮,全筆移轉
RPSNMLLMLHLGFBJ48DA,20,17.95,共用部分,鋼筋混凝土造,94年10月4日,十五層,,持分移轉
RPSNMLLMLHLGFBJ48DA,20,17.32,共用部分,鋼筋混凝土造,94年10月4日,十五層,,持分移轉
RPSNMLPLLHLGFBJ78DA,,116.10,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPPPMLKMLHLGFBJ28DA,18,153.77,住家用,鋼筋混凝土造,97年8月25日,十二層,十層 陽台 雨遮,全筆移轉
RPPPMLKMLHLGFBJ28DA,18,54.68,共用部分,鋼筋混凝土造,97年8月25日,十三層,,持分移轉
RPPPMLKMLHLGFBJ28DA,18,23.64,共用部分,鋼筋混凝土造,97年8月25日,十三層,,持分移轉
RPUPMLLMLHLGFBJ88DA,30,23.28,住家用,鋼筋混凝土造,85年1月30日,八層,四層 陽台,全筆移轉
RPUPMLLMLHLGFBJ88DA,30,10.85,共用部分,鋼筋混凝土造,85年1月30日,八層,,持分移轉
RPTPMLLMLHLGFBJ78DA,10,64.37,住家用,鋼筋混凝土造,105年6月8日,二十七層,二十七層 陽台 雨遮,全筆移轉
RPTPMLLMLHLGFBJ78DA,10,20.06,本共有部分之項目有管委會使用空間、樓梯間、機械室、水箱等四項,鋼筋混凝土造,105年6月8日,二十七層,,持分移轉
RPTPMLLMLHLGFBJ78DA,10,40.33,本共有部分之項目有防空避難室兼停車空間、停車空間等二項,鋼筋混凝土造,105年6月8日,二十七層,,持分移轉
RPVPMLLMLHLGFBJ98DA,8,88.75,住家用,鋼筋混凝土造,107年8月10日,十三層,十二層 陽台 雨遮,全筆移轉
RPVPMLLMLHLGFBJ98DA,8,82.00,本共有部分之項目有防空避難室兼停車空間、停車空間、機房、公共服務空間、公共設施、警衛室、管委會、中庭涼亭、梯間、機械室、水箱等十一項。,鋼筋混凝土造,107年8月10日,十五層,,持分移轉
RPPNMLTLLHLGFBJ88DA,6,66.18,住家用,鋼筋混凝土造,109年7月2日,四層,一層 二層 三層 四層 陽台,持分移轉
RPQOMLMJMHLGFBJ28DA,14,313.89,農舍,鋼筋混凝土造,100年10月20日,二層,一層 二層 陽台,全筆移轉
RPPNMLQJMHLGFBJ48DA,31,122.68,住家用,鋼筋混凝土造,84年9月16日,十層,四層 陽台 露台,全筆移轉
RPPNMLQJMHLGFBJ48DA,31,12.55,共用部分,鋼筋混凝土造,84年9月16日,十層,,持分移轉
RPPNMLQJMHLGFBJ48DA,31,25.59,共用部分,鋼筋混凝土造,84年9月16日,十層,,持分移轉
RPQNMLMJMHLGFBJ28EA,1,64.17,集合住宅,鋼筋混凝土造,114年4月28日,十五層,八層 陽台,全筆移轉
RPQNMLMJMHLGFBJ28EA,1,48.27,本共有部分之項目有防空避難室兼停車空間、騎樓（連續性前廊）、停車空間、樓電梯間、管委會空間等五項。,鋼筋混凝土造,114年4月28日,十五層,,持分移轉
RPQNMLMJMHLGFBJ28EA,1,14.72,本共有部分之項目有梯間、消防水池、水錶區、電梯機械室、水箱等五項。,鋼筋混凝土造,114年4月28日,十五層,,持分移轉
