編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLSKLHLGFBJ76DA,大旱坑段大旱坑小段,366.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01420008
RPSNMLLMLHLGFBJ48DA,大學段,14.37,都市：其他:第二種商業區,10000,26,持分移轉,02180000
RPRNMLQLLHLGFBJ78DA,仁安段,138.06,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05360001
RPSNMLPLLHLGFBJ78DA,台元段,92.00,都市：其他:第二種住宅區,1,1,全筆移轉,04770000
RPPPMLKMLHLGFBJ28DA,世興段,30.84,都市：其他:第二種商業區,10000,64,持分移轉,00440000
RPTNMLKMLHLGFBJ48DA,上橫坑段,5.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,18,1,持分移轉,08780002
RPTNMLKMLHLGFBJ48DA,上橫坑段,12.56,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉,08800011
RPTNMLKMLHLGFBJ48DA,上橫坑段,20.17,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉,08800015
RPTNMLKMLHLGFBJ48DA,上橫坑段,7.22,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉,08800019
RPTNMLKMLHLGFBJ48DA,上橫坑段,3307.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,08800021
RPTNMLKMLHLGFBJ48DA,上橫坑段,111.17,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉,08800022
RPTNMLKMLHLGFBJ48DA,上橫坑段,6.78,非都市：山坡地保育區 ; 非都市編定：林業用地,18,1,持分移轉,08800034
RPTNMLKMLHLGFBJ48DA,上橫坑段,10.94,非都市：山坡地保育區 ; 非都市編定：水利用地,18,1,持分移轉,08810010
RPUPMLLMLHLGFBJ88DA,縣華段,5.63,都市：其他:第二種商業區,10000,194,持分移轉,00920000
RPTPMLLMLHLGFBJ78DA,莊敬段,9.38,都市：其他:第二種商業區,100000,107,持分移轉,06570000
RPWNMLKMLHLGFBJ78DA,社北段,3.31,都市：其他:第二種住宅區,10000,62,持分移轉,06890000
RPVPMLLMLHLGFBJ98DA,中興段,7.72,都市：其他:第三種商業區,100000,287,持分移轉,03550000
RPVPMLLMLHLGFBJ98DA,中興段,18.11,都市：其他:第二種住宅區,100000,287,持分移轉,03570000
RPPNMLTLLHLGFBJ88DA,仰德段,26.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,17230000
RPPNMLTLLHLGFBJ88DA,仰德段,1.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,110,持分移轉,17230002
RPPNMLTLLHLGFBJ88DA,仰德段,.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,1,持分移轉,17230016
RPQOMLMJMHLGFBJ28DA,北打鐵坑段大北坑小段,3463.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01900000
RPPOMLMJMHLGFBJ18DA,北打鐵坑段大北坑小段,1012.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01840002
RPPNMLQJMHLGFBJ48DA,縣華段,26.39,都市：其他:第二種商業區,10000,1112,持分移轉,00800000
RPQNMLMJMHLGFBJ28EA,世興段,16.39,都市：其他:第二種商業區,10000,25,持分移轉,00110000
RPWOMLQLLHLGFDJ96DA,建興段鳳凰小段,5.55,非都市：工業區 ; 非都市編定：丁種建築用地,1000,7,持分移轉,02690001
RPTOMLLMLHLGFDJ88DA,建興段鳳凰小段,17.28,非都市：工業區 ; 非都市編定：丁種建築用地,10000,522,持分移轉,02200000
RPSNMLQLLHLGFDJ09DA,青埔子段,2150.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14290000
RPQOMLRJMHLGFDJ98DA,建興段鳳凰小段,102.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01450006
RPQNMLQLLHLGFDJ88DA,建興段鳳凰小段,70.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07660000
RPRNMLPLLHLGFCJ88EA,廣福段,27.74,都市：其他:住宅區,6,2,持分移轉,07830000
RPRNMLPLLHLGFCJ88EA,廣福段,1.60,都市：其他:住宅區,6,2,持分移轉,07850000
RPRNMLPLLHLGFCJ88EA,廣福段,3.12,都市：其他:住宅區,6,2,持分移轉,07860000
RPRNMLPLLHLGFCJ88EA,廣福段,13.09,都市：其他:住宅區,6,2,持分移轉,07870000
RPQNMLLJMHLGFCJ28EA,王爺坑段,106.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01530005
RPQNMLLJMHLGFCJ28EA,王爺坑段,106.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01530007
