編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKLHLGFBJ18CB,白地粉段,23.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1976,持分移轉,07450000
RPPNMLTKLHLGFBJ78CB,站後段,10.06,都市：商,100000,1122,持分移轉,04800000
RPPNMLTKLHLGFBJ78CB,站後段,5.24,都市：商,100000,1122,持分移轉,04810000
RPPNMLNLLHLGFBJ28CB,文化段,.66,都市：住,100000,1417,持分移轉,00270000
RPPNMLNLLHLGFBJ28CB,文化段,.39,都市：住,100000,1417,持分移轉,00280000
RPPNMLNLLHLGFBJ28CB,文化段,.95,都市：住,100000,1417,持分移轉,00290000
RPPNMLNLLHLGFBJ28CB,文化段,1.41,都市：住,100000,1417,持分移轉,00300000
RPPNMLNLLHLGFBJ28CB,文化段,1.60,都市：住,100000,1417,持分移轉,00310000
RPPNMLNLLHLGFBJ28CB,文化段,1.55,都市：住,100000,1417,持分移轉,00320000
RPPNMLNLLHLGFBJ28CB,文化段,1.51,都市：住,100000,1417,持分移轉,00330000
RPPNMLNLLHLGFBJ28CB,文化段,1.51,都市：住,100000,1417,持分移轉,00340000
RPPNMLNLLHLGFBJ28CB,文化段,1.16,都市：住,100000,1417,持分移轉,00410000
RPPNMLNLLHLGFBJ28CB,文化段,.93,都市：住,100000,1417,持分移轉,00420000
RPPNMLNLLHLGFBJ28CB,文化段,.96,都市：住,100000,1417,持分移轉,00430000
RPPNMLNLLHLGFBJ28CB,文化段,.96,都市：住,100000,1417,持分移轉,00440000
RPPNMLNLLHLGFBJ28CB,文化段,.94,都市：住,100000,1417,持分移轉,00450000
RPPNMLNLLHLGFBJ28CB,文化段,.96,都市：住,100000,1417,持分移轉,00460000
RPPNMLNLLHLGFBJ28CB,文化段,1.13,都市：住,100000,1417,持分移轉,00470000
RPPNMLNLLHLGFBJ28CB,文化段,.10,都市：住,100000,1417,持分移轉,00480001
RPPNMLNLLHLGFBJ28CB,文化段,.10,都市：住,100000,1417,持分移轉,00480002
RPPNMLNLLHLGFBJ28CB,文化段,.09,都市：住,100000,1417,持分移轉,00480003
RPPNMLNLLHLGFBJ28CB,文化段,.21,都市：住,100000,1417,持分移轉,00480004
RPSNMLQKLHLGFBJ78CB,東興段,25.52,都市：住,100000,1732,持分移轉,06300000
RPPNMLLKLHLGFBJ97CB,家興段,32.55,都市：商,100000,5271,持分移轉,04340000
RPPNMLKLLHLGFDJ28DB,中興段中興小段,23.05,非都市：工業區 ; 非都市編定：丁種建築用地,100000,976,持分移轉,02060000
RPTNMLQKLHLGFBJ88CB,東興段,25.52,都市：住,100000,1732,持分移轉,06300000
RPQNMLTKLHLGFBJ88CB,站後段,6.24,都市：商,100000,696,持分移轉,04800000
RPQNMLTKLHLGFBJ88CB,站後段,3.25,都市：商,100000,696,持分移轉,04810000
RPUNMLKKLHLGFBJ38CB,東興段,25.52,都市：住,100000,1732,持分移轉,06300000
RPTNMLOLLHLGFDJ98CB,中義段,30.64,都市：住,100000,900,持分移轉,04950000
RPPNMLNLLHLGFDJ48CB,振興段,27.53,都市：住,100000,1343,持分移轉,01720002
