編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKLHLGFBJ18CB,坡道平面,0,34.35,地下二樓
RPPNMLTKLHLGFBJ78CB,坡道平面,2500000,34.02,地下二樓
RPPNMLNLLHLGFBJ28CB,坡道平面,1950000,36.13,地下三樓
RPSNMLQKLHLGFBJ78CB,坡道平面,2400000,30.78,地下二樓
RPPNMLLKLHLGFBJ97CB,坡道機械,1520000,24.06,一樓
RPPNMLKLLHLGFDJ28DB,坡道平面,1700000,32.48,地下一樓
RPTNMLQKLHLGFBJ88CB,坡道平面,2400000,30.78,地下二樓
RPUNMLKKLHLGFBJ38CB,坡道平面,2400000,30.78,地下二樓
RPTNMLOLLHLGFDJ98CB,坡道平面,1800000,32.73,地下二樓
RPPNMLNLLHLGFDJ48CB,坡道平面,1600000,30.94,地下二樓
RPPNMLLLLHLGFDJ28CB,坡道平面,1680000,25.26,地下二樓
RPQNMLQKLHLGFBJ58CB,坡道平面,2600000,30.78,地下一樓
RPQNMLNLLHLGFDJ58CB,坡道平面,1500000,23.78,地下二樓
RPPNMLOLLHLGFBJ38CB,坡道平面,1800000,26.46,地下一樓
RPRNMLQKLHLGFBJ68CB,坡道平面,2600000,30.78,地下一樓
RPPNMLTJLHLGFBJ68CB,坡道平面,1200000,34.56,地下二樓
RPVNMLPLLHLGFBJ09CB,坡道平面,0,34.35,地下二樓
RPPNMLLMLHLGFBJ18CB,坡道平面,2000000,23.18,地下一樓
RPQNMLLMLHLGFBJ28CB,坡道平面,2000000,23.18,地下一樓
RPPNMLTKLHLGFCJ88CB,坡道平面,1750000,33.60,地下一樓
RPPNMLTKLHLGFCJ88CB,坡道平面,1750000,33.60,地下一樓
RPQNMLTKLHLGFCJ98CB,坡道平面,1650000,33.60,地下二樓
RPPNMLMKLHLGFCJ18CB,其他,600000,,一樓
RPSNMLNLLHLGFBJ58CB,坡道平面,3100000,40.00,地下一樓
RPSNMLNLLHLGFBJ58CB,坡道平面,3000000,40.00,地下一樓
