鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
通霄鎮,土地,新埔段196-1地號,260.34,,一般農業區,農牧用地,1150319,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,175484,674,,0.0,0,,RPPNMLRKLHLGFCK78DA,0.0,0.0,0.0,無,001
苑裡鎮,土地,藍田段881地號,80.93,,特定農業區,丁種建築用地,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1958400,24199,,0.0,0,畸零地或有合併使用效益；,RPQNMLKMLHLGFCK38DA,0.0,0.0,0.0,無,
卓蘭鎮,房地(土地+建物),苗栗縣卓蘭鎮中正路５之１１號,87.53,農,,,1150316,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880529,195.09,5,2,3,有,無,7500000,38444,,0.0,0,,RPPNMLLMLHLGFAK18DA,156.78,18.63,19.68,無,
頭屋鄉,土地,外獅潭段809地號,8803.0,,山坡地保育區,林業用地,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,432,,0.0,0,含土地增值稅或其他稅費；含地政士服務費8000元；,RPQNMLKMLHLGFBK28DA,0.0,0.0,0.0,無,
竹南鎮,土地,新博愛段563地號,52.75,都市：其他:道路用地,,,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,3791,,0.0,0,包含公共設施保留地用地；,RPRNMLQKLHLGFDK98DA,0.0,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里１５鄰愛國街２２號,70.93,住,,,1150313,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680808,96.32,5,2,6,有,無,8500000,88248,,0.0,0,有內部裝潢整理頂樓加蓋；其他增建；,RPSNMLQKLHLGFDK09DA,96.32,0.0,0.0,無,002
銅鑼鄉,土地,福安段1107地號,1586.78,,特定農業區,農牧用地,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3680000,2319,,0.0,0,,RPRNMLOLLHLGFEK98DA,0.0,0.0,0.0,無,
三義鄉,土地,僑成段198地號,540.48,,鄉村區,乙種建築用地,1150302,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30800000,56986,,0.0,0,未登記建物；,RPQNMLLMLHLGFEK68DA,0.0,0.0,0.0,無,
頭份市,車位,苗栗縣頭份市山下里８鄰翠亨路１４８號等共有部分,0.0,,,,1150307,土地0建物1車位1,,,其他,,,,24.43,0,0,0,無,有,990000,,坡道平面,24.43,990000,本案增購汽車位1個；建物坐落地號：後湖段648地號；僅車位交易；,RPVNMLTJLHLGFFK17DA,0.0,0.0,0.0,有,
