編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLLJMHLGFCK58DA,26,149.19,農舍,鋼骨造,89年8月22日,一層,一層,全筆移轉
RPTNMLNLLHLGFBK78DA,19,210.95,住家用,鋼筋混凝土造,96年6月28日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPTNMLLMLHLGFBK68DA,30,166.83,住家用,鋼筋混凝土造,85年8月15日,七層,五層 六層 七層,全筆移轉
RPTNMLLMLHLGFBK68DA,30,16.84,梯間,鋼筋混凝土造,85年8月15日,七層,,持分移轉
RPTNMLLMLHLGFBK68DA,30,21.21,防空避難室，停車空間,鋼筋混凝土造,85年8月15日,七層,,持分移轉
RPPNMLPLLHLGFCK68DA,,187.40,住商用,鋼骨水泥加強磚造,,三層,一層 二層 三層 騎樓,全筆移轉
RPWNMLQLLHLGFBK76DA,32,150.76,住家用,鋼筋混凝土造,83年1月27日,二層,一層 二層 陽台 平台 屋頂突出物,全筆移轉
RPVNMLTJLHLGFFK17DA,7,24.43,停車空間、機電設備空間、防空避難室、梯間、電梯機房、水箱,鋼筋混凝土造,108年4月16日,十四層,,持分移轉
RPSNMLQKLHLGFDK09DA,47,96.32,住商用,加強磚造,68年8月8日,二層,一層 二層 騎樓,全筆移轉
RPSNMLNLLHLGFDK88DA,48,202.81,農舍,加強磚造,67年2月21日,二層,一層 二層 陽台 平台 屋頂突出物,全筆移轉
RPVNMLRKLHLGFDK86DA,45,102.12,住家用,鋼筋混凝土造,69年9月25日,二層,一層 二層,全筆移轉
RPQNMLTJLHLGFFK66DA,27,123.00,住家用,鋼筋混凝土造,88年5月1日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLLJMHLGFCK48DA,27,186.59,住家用,鋼筋混凝土造,87年12月30日,三層,一層 二層 三層 陽台 平台 地下層,全筆移轉
RPSNMLMKLHLGFFK88DA,44,114.89,住家用,鋼筋混凝土造,70年12月26日,五層,四層,全筆移轉
RPSNMLLJMHLGFCK48DA,27,37.29,停車空間,鋼筋混凝土造,87年12月30日,三層,,持分移轉
RPSNMLMKLHLGFFK88DA,44,7.61,樓梯,鋼筋混凝土造,70年12月26日,五層,,持分移轉
RPSNMLMKLHLGFFK88DA,44,7.88,防空避難室,鋼筋混凝土造,70年12月26日,五層,,持分移轉
RPQNMLLJMHLGFBK18DA,12,210.54,住家用,鋼筋混凝土造,103年1月28日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLOJLHLGFDK78DA,44,76.40,住家用,鋼筋混凝土造,70年12月8日,二層,一層 二層,全筆移轉
RPPNMLQLLHLGFBK68DA,,3578.56,倉庫，餐廳，樓梯室,加強磚造,,三層,一層 二層 三層,全筆移轉
RPSNMLNLLHLGFBK68DA,33,1580.26,避難室，停車場,鋼筋混凝土造,82年6月26日,七層,,全筆移轉
RPSNMLNLLHLGFBK68DA,33,89.66,住家用,鋼筋混凝土造,82年6月26日,五層,四層 陽台,全筆移轉
RPSNMLNLLHLGFBK68DA,33,8.47,樓梯間，水箱,鋼筋混凝土造,82年6月26日,五層,,持分移轉
RPRNMLLKLHLGFFK68DA,28,68.52,住家用,鋼筋混凝土造,86年10月3日,八層,一層 平台,全筆移轉
RPRNMLLKLHLGFFK68DA,28,8.82,樓梯,鋼筋混凝土造,86年10月3日,八層,,持分移轉
RPRNMLLKLHLGFFK68DA,28,17.75,地下室，停車空間，管理室,鋼筋混凝土造,86年10月3日,八層,,持分移轉
RPSNMLLMLHLGFBK58DA,58,111.97,住家用,加強磚造,57年1月1日,二層,一層 二層 見其他登記事項,全筆移轉
RPPNMLKKLHLGFFK38DA,28,15.72,公共設施,鋼筋混凝土造,86年8月27日,,,持分移轉
RPPNMLKKLHLGFFK38DA,28,77.99,住家用,鋼筋混凝土造,86年8月27日,七層,二層 陽台,全筆移轉
RPVNMLMKLHLGFBK78DA,31,19.00,停車空間,鋼筋混凝土造,83年12月30日,五層,,持分移轉
