編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKLHLGFCK78DA,新埔段,69.38,非都市：一般農業區 ; 非都市編定：農牧用地,32,1,持分移轉,01900000
RPPNMLRKLHLGFCK78DA,新埔段,29.97,非都市：一般農業區 ; 非都市編定：農牧用地,32,1,持分移轉,01900002
RPPNMLRKLHLGFCK78DA,新埔段,49.00,非都市：一般農業區 ; 非都市編定：農牧用地,390,49,持分移轉,01920000
RPPNMLRKLHLGFCK78DA,新埔段,112.00,非都市：一般農業區 ; 非都市編定：農牧用地,893,112,持分移轉,01960001
RPQNMLKMLHLGFCK38DA,藍田段,80.93,非都市：特定農業區 ; 非都市編定：丁種建築用地,17,2,持分移轉,08810000
RPRNMLOLLHLGFEK98DA,福安段,1586.78,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11070000
RPPNMLLJMHLGFEK38DA,育英段,180.07,非都市：山坡地保育區 ; 非都市編定：農牧用地,125,8,持分移轉,01390000
RPQNMLLMLHLGFEK68DA,僑成段,186.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01970000
RPQNMLLMLHLGFEK68DA,僑成段,323.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01980000
RPQNMLLMLHLGFEK68DA,僑成段,3.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01990000
RPQNMLLMLHLGFEK68DA,僑成段,27.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02000000
RPQNMLMJMHLGFEK58DA,重河段,80.05,都市：其他:鐵路用地,1,1,全筆移轉,06140000
RPQNMLMJMHLGFEK58DA,重河段,34.28,都市：其他:農業區,1,1,全筆移轉,06160000
RPTNMLLJMHLGFCK58DA,通平段,1610.85,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14760000
RPWNMLLMLHLGFBK98DA,尖山段,754.67,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,16050000
RPPNMLNJMHLGFBK28DA,南勢坑段下南勢坑小段,56.87,非都市：山坡地保育區 ; 非都市編定：農牧用地,23,1,持分移轉,06560002
RPPNMLNJMHLGFBK28DA,南勢坑段下南勢坑小段,418.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2543,418,持分移轉,06560014
RPTNMLLMLHLGFBK68DA,玉清段,82.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3340,持分移轉,10420000
RPTNMLNLLHLGFBK78DA,福東段,6.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,04340000
RPVNMLLMLHLGFBK88DA,尖山段,759.33,非都市：特定農業區 ; 非都市編定：農牧用地,9,3,持分移轉,16040000
RPQNMLKMLHLGFBK28DA,外獅潭段,8803.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,08090000
RPTNMLNLLHLGFBK78DA,福東段,41.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,04350000
RPTNMLNLLHLGFBK78DA,福東段,135.13,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04410000
RPVOMLTKLHLGFBK96DA,為公段,36.02,都市：其他:道路用地,1,1,全筆移轉,07820000
RPPNMLPLLHLGFCK68DA,通西段,95.37,都市：其他:住宅區,1,1,全筆移轉,12200000
RPWNMLQLLHLGFBK76DA,義民段,125.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09080000
RPVNMLNLLHLGFFK76DA,北銅鏡段,1083.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06630000
RPWNMLRJMHLGFFK17DA,永貞段,4.11,都市：其他:住宅區,1,1,全筆移轉,01420007
RPUNMLRJMHLGFFK96DA,永貞段,6.20,都市：其他:住宅區,1,1,全筆移轉,01420005
RPVNMLRJMHLGFFK07DA,永貞段,4.37,都市：其他:住宅區,1,1,全筆移轉,01420006
RPQNMLRKLHLGFDK98DA,龍佳段,99.45,都市：其他:住宅區,1,1,全筆移轉,00020000
RPSNMLQKLHLGFDK09DA,新山佳段,70.93,都市：其他:住宅區,1,1,全筆移轉,04480000
RPOOMLMJLHLGFDK28DA,龍鳳西段,97.12,都市：其他:住宅區,29580,9712,持分移轉,03610001
RPOOMLMJLHLGFDK28DA,龍鳳西段,69.52,都市：其他:住宅區,29580,6952,持分移轉,03610001
RPOOMLMJLHLGFDK28DA,龍鳳西段,69.52,都市：其他:住宅區,29580,6952,持分移轉,03610001
RPOOMLMJLHLGFDK28DA,龍鳳西段,59.64,都市：其他:住宅區,29580,5964,持分移轉,03610001
