鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
苑裡鎮,房地(土地+建物)+車位,苗栗縣苑裡鎮世界路一段,15.34,商,,,1150304,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.25,3,2,2,有,無,8500000,82940,一樓平面,10.0,600000,,RPPNMLOJLHLGFCK48DB,尊爵名門-苑中段,第一棟6A號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市永忠街,17.33,商,,,1150301,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.64,3,2,2,有,無,17590000,122433,坡道平面,29.08,1850000,,RPQNMLKKLHLGFFK48CB,創麒城曦,5F-A號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市富強二街,19.26,住,,,1150302,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.47,2,2,2,有,無,12000000,118937,坡道平面,34.29,1750000,,RPRNMLKKLHLGFFK58CB,昌隆廣場-勝好,A6棟06F號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文發路222號旁,46.52,住,,,1150308,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.23,3,2,2,有,無,11000000,81343,一樓平面,16.01,0,,RPPNMLNKLHLGFBK28CB,尊爵7,1棟4B號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公義路,68.19,,山坡地保育區,丙種建築用地,1150302,土地6建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.32,3,2,2,有,無,16300000,123946,坡道平面,29.72,1600000,土地交易標的包含廣源段702.703.704.713等4筆土地且位於本案建築基地範圍外,RPQNMLNKLHLGFDK58CB,與山前,C1棟3F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公義路,60.19,,山坡地保育區,丙種建築用地,1150302,土地6建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.51,3,2,2,有,無,14660000,124630,坡道平面,29.72,1600000,土地交易標的包含廣源段702.703.704.713等4筆土地且位於本案建築基地範圍外,RPRNMLNKLHLGFDK68CB,與山前,C2棟5F號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉村13鄰353號旁,38.97,住,,,1150308,土地2建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.08,3,2,2,有,無,11380000,81618,坡道平面,28.74,1150000,,RPPNMLQKLHLGFBK68DB,公館綻,G棟1-6號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1238地號,13.8,商,,,1150307,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,17080000,116751,坡道平面,24.97,1900000,,RPPNMLTKLHLGFFK66CB,富麗賀,B5棟5F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1238地號,14.31,商,,,1150304,土地1建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.84,3,2,2,有,無,17580000,116260,坡道平面,24.97,1900000,,RPQNMLTKLHLGFFK76CB,富麗賀,B1棟6F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,32.93,住,,,1150302,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.44,2,2,2,有,無,9570000,85483,坡道平面,26.62,1550000,,RPSNMLNLLHLGFDK88CB,綻高鐵,A棟A4-7F號,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮苗47-1鄉道,70.26,,特定農業區,甲種建築用地,1150309,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,142.73,4,2,3,有,無,11700000,81973,,0.0,0,,RPPNMLQLLHLGFCK78CB,翔賀居17期,B2號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公義路,68.19,,山坡地保育區,丙種建築用地,1150305,土地6建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.32,3,2,2,有,無,16320000,124115,坡道平面,29.72,1600000,土地交易標的包含廣源段702.703.704.713等4筆土地且位於本案建築基地範圍外,RPRNMLQLLHLGFDK09CB,與山前,C3棟3F號,
