鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
魚池鄉,土地,大林段65-4地號,294.0,,鄉村區,乙種建築用地,1150402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,13605,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKMHLGFCM48DA,0.0,0.0,0.0,無,
中寮鄉,土地,中寮段208-1地號,87.0,,山坡地保育區,特定目的事業用地,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,87010,1000,,0.0,0,,RPQNMLKKKHLGFAM08DA,0.0,0.0,0.0,無,
埔里鎮,土地,忠義段558地號,159.3,都市：其他:道路用地,,,1150304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25000000,156937,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQLLHLGFCM09DA,0.0,0.0,0.0,無,
國姓鄉,土地,北山坑段313-4地號,42.13,,山坡地保育區,農牧用地,1150321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,240000,5697,,0.0,0,早期買賣，至今過戶。,RPTNMLRLLHLGFCM86DA,0.0,0.0,0.0,無,01
埔里鎮,土地,水源段1349地號,165.3,,特定農業區,農牧用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,6050,,0.0,0,,RPTNMLKMLHLGFCM88DA,0.0,0.0,0.0,無,02
埔里鎮,土地,大雁頂段655地號,1046.55,,森林區,林業用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,573,,0.0,0,,RPVNMLKMLHLGFCM09DA,0.0,0.0,0.0,無,
埔里鎮,土地,大雁頂段815地號,648.2,,山坡地保育區,農牧用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,926,,0.0,0,本件買賣土地為袋地，無道路可通達，買方知悉且同意承買屬實。,RPQNMLLMLHLGFCM68DA,0.0,0.0,0.0,無,
南投市,土地,牛運堀段339地號,1552.0,,一般農業區,農牧用地,1150322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,3222,,0.0,0,,RPQNMLRLLHLGFAM09EA,0.0,0.0,0.0,無,
名間鄉,土地,虎子坑段344-1地號,3776.84,,一般農業區,農牧用地,1150323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,1589,,0.0,0,農作物；,RPPNMLKMLHLGFAM38EA,0.0,0.0,0.0,無,
