編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLRLLHLGFEM96DA,廣明段,77.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09150030
RPRNMLRLLHLGFEM86DA,廣明段,397.74,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08030000
RPQNMLRLLHLGFAM09EA,牛運堀段,1552.00,非都市：一般農業區 ; 非都市編定：農牧用地,5,2,持分移轉,03390000
RPPNMLKMLHLGFAM38EA,虎子坑段,3776.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03440001
RPRNMLTKLHLGFAM56DA,大崗段,20.75,非都市：工業區 ; 非都市編定：丁種建築用地,4,1,持分移轉,00010001
RPVNMLKMLHLGFAM88DA,樟平段,329.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,10580000
RPPNMLQLLHLGFAM78DA,光大段,635.45,都市：其他:住宅區,1,1,全筆移轉,07790002
RPQNMLMJMHLGFAM38DA,大崗段,20.79,非都市：工業區 ; 非都市編定：丁種建築用地,1000,90,持分移轉,00020003
RPTNMLKMLHLGFCM88DA,水源段,165.30,非都市：特定農業區 ; 非都市編定：農牧用地,765555,49590,持分移轉,13490000
RPSNMLKMLHLGFCM78DA,文頭股段,1091.49,,1,1,全筆移轉,00680001
SPSNMLMJMHLGFCM88DA,犁頭尖段,755.76,都市：其他:農業區,1,1,全筆移轉,04890006
RPRNMLLJMHLGFCM58DA,東光段,300.76,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05190000
RPRNMLLJMHLGFCM58DA,東光段,18.29,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05220000
RPVNMLMJMHLGFCM09DA,水長流段,230.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,42620000
RPQNMLLMLHLGFCM68DA,大雁頂段,648.20,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08150000
RPPNMLLMLHLGFCM58DA,東埔段,65.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00650000
RPTNMLRLLHLGFCM86DA,北山坑段,42.13,非都市：山坡地保育區 ; 非都市編定：農牧用地,263200,12000,持分移轉,03130004
RPPNMLLMLHLGFCM58DA,東埔段,100.83,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1196,持分移轉,00660000
RPPNMLLMLHLGFCM58DA,東埔段,9.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20000,238,持分移轉,01650000
RPPNMLLMLHLGFCM58DA,東埔段,11.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20000,238,持分移轉,01660000
RPPNMLLMLHLGFCM58DA,東埔段,7.48,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20000,238,持分移轉,01670000
RPVNMLKMLHLGFCM09DA,大雁頂段,1046.55,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,06550000
RPSNMLMJMHLGFCM78DA,犁頭尖段,332.26,,1,1,全筆移轉,04880007
RPXNMLQLLHLGFCM17DA,大雁段,125.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00350001
RPQNMLQLLHLGFCM09DA,忠義段,148.30,都市：其他:道路用地,1,1,全筆移轉,05580000
RPQNMLQLLHLGFCM09DA,忠義段,11.00,都市：其他:商業區,1,1,全筆移轉,05590000
RPPNMLRLLHLGFCM09DA,平靜段,60.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,07630000
RPPNMLSLLHLGFAM98DA,南投段,6.50,都市：其他:第一種商業區,12,1,持分移轉,03230013
RPPNMLPJMHLGFAM58DA,中寮段,2687.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490000
RPPNMLPJMHLGFAM58DA,中寮段,2687.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490001
RPPNMLPJMHLGFAM58DA,中寮段,2687.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490002
RPPNMLPJMHLGFAM58DA,中寮段,2687.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01490003
RPPNMLNLLHLGFEM88DA,水里段,45.00,都市：其他:商業區,1,1,全筆移轉,04620000
RPSNMLMJMHLGFAM58DA,南勢段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00240005
RPUNMLPLLHLGFAM56DA,嘉興段,65.17,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,25260001
RPUNMLMJMHLGFCM98DA,大坪頂段,145.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01550000
RPUNMLMJMHLGFCM98DA,大坪頂段,306.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01560000
RPQNMLSJMHLGFCM56DA,眉原段,48.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,06650000
RPQNMLSJMHLGFCM56DA,眉原段,190.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08190000
RPQNMLSJMHLGFCM56DA,眉原段,690.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08820000
RPPNMLMJMHLGFAM28DA,分水寮段,1467.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14540002
RPPNMLMLLHLGFCM58DA,龜溝段,1917.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03850000
RPPNMLMLLHLGFCM58DA,龜溝段,694.99,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03860000
RPTNMLQLLHLGFCM76DA,埔里段信義小段,148.00,都市：其他:住宅區,1,1,全筆移轉,03960001
RPRNMLKMLHLGFCM68DA,忠言段,67.10,都市：其他:住宅區,1,1,全筆移轉,02470000
