鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
芳苑鄉,土地,草湖北段690地號,86.48,,一般農業區,甲種建築用地,1150402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,863286,9982,,0.0,0,,RPUNMLMJMHLGFGN86DA,0.0,0.0,0.0,無,001
花壇鄉,土地,南口段656地號,5.39,住,,,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,276998,51391,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOLLHLGFAN09DA,0.0,0.0,0.0,無,002
彰化市,土地,福田段976地號,45.5,,山坡地保育區,農牧用地,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,7912,,0.0,0,,RPUNMLQLLHLGFAN76DA,0.0,0.0,0.0,無,003
花壇鄉,土地,溪南段1463-2地號,14.33,,特定農業區,農牧用地,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,69344,4839,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLQLLHLGFAN86DA,0.0,0.0,0.0,無,004
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和泰路２５號三樓之９,37.89,住,,,1150311,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130109,119.00999999999999,3,2,2,有,有,11500000,96631,一樓平面,0.0,0,,RPUNMLPLLHLGFBN76DA,73.53,0.0,6.32,有,005
埤頭鄉,土地,新埤頭段818地號,45.35,,鄉村區,乙種建築用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,411300,9069,,0.0,0,,RPSNMLRLLHLGFFN17DA,0.0,0.0,0.0,無,006
二林鎮,土地,崙仔腳段766地號,572.86,,特定農業區,農牧用地,1150316,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,960000,1676,,0.0,0,,RPUNMLPLLHLGFGN27DA,0.0,0.0,0.0,無,007
芳苑鄉,土地,芳山段842地號,330.98,住,,,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,4532,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLQLLHLGFGN27DA,0.0,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市南校街７２巷６號十樓,45.86,住,,,1150316,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850729,147.04,3,2,2,有,有,6500000,44206,,0.0,0,,RPTNMLPLLHLGFAN56DA,92.41,0.25,16.55,有,
彰化市,房地(土地+建物),彰化縣彰化市福山里西南莊２９號,91.02,,山坡地保育區,丙種建築用地,1150309,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670902,87.2,4,2,2,有,無,6600000,75688,,0.0,0,三樓前方增建其他增建；,RPQOMLQLLHLGFAN09DA,87.2,0.0,0.0,無,008
彰化市,房地(土地+建物),彰化縣彰化市長順街１４１巷３號二樓之２,30.84,住,,,1150303,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140106,103.85,3,1,2,有,有,12080000,116322,,0.0,0,本買賣土地價款483萬元正，建物價款725萬元正。本案買賣包含一個停車空間。,RPSNMLKMLHLGFAN68DA,58.66,0.0,8.73,有,
彰化市,房地(土地+建物),彰化縣彰化市長順街１４１巷３號五樓之１,20.29,住,,,1150306,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140106,68.67,2,1,1,有,有,8160000,118829,,0.0,0,,RPUNMLKMLHLGFAN88DA,41.57,0.0,3.08,有,
和美鎮,土地,和群段273地號,5.22,,特定農業區,交通用地,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,85000,16284,,0.0,0,,RPRNMLRLLHLGFBN66DA,0.0,0.0,0.0,無,
員林市,房地(土地+建物),彰化縣員林市員大路一段２８７號,84.25,,特定農業區,甲種建築用地,1150323,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680428,101.01,3,2,2,有,無,8000000,79200,,0.0,0,其他增建；,RPOOMLKMLHLGFDN68DA,101.01,0.0,0.0,無,009
