編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLKMLHLGFDN68DA,南潭段,84.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01860000
RPSNMLKMLHLGFFN56DA,芳圃段,570.16,都市：其他:農業區,10000,2728,持分移轉,06210000
RPSNMLKMLHLGFFN56DA,芳圃段,1.74,都市：其他:農業區,10000,2728,持分移轉,06220000
RPSNMLKMLHLGFFN56DA,芳圃段,3.31,都市：其他:農業區,10000,2728,持分移轉,06230000
RPSNMLKMLHLGFFN56DA,芳圃段,1.00,都市：其他:道路用地,10000,2728,持分移轉,06240000
RPPNMLKMLHLGFFN88DA,興農段,15.39,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07050000
RPPNMLKMLHLGFFN88DA,興農段,57.42,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07050002
RPSNMLKMLHLGFAN68DA,牛稠子段牛稠子小段,30.84,都市：其他:住宅區,10000,1421,持分移轉,00240062
RPTNMLOLLHLGFAN09DA,南口段,5.39,都市：其他:住宅區,110880,1540,持分移轉,06560000
RPUNMLPLLHLGFBN76DA,和西段,37.89,都市：其他:住宅區,100000,2480,持分移轉,08540001
RPQNMLKMLHLGFFN98DA,福德段,1805.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03640000
RPUOMLQLLHLGFAN86DA,溪南段,14.33,非都市：特定農業區 ; 非都市編定：農牧用地,997920,13860,持分移轉,14630002
RPUNMLQLLHLGFAN76DA,福田段,45.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,3389880,2730,持分移轉,09760000
RPWNMLLMLHLGFGN17DA,三林段,4776.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04130000
RPUNMLKMLHLGFAN88DA,牛稠子段牛稠子小段,20.29,都市：其他:住宅區,10000,935,持分移轉,00240062
RPTNMLPLLHLGFGN17DA,𥕟磘段,369.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,01150003
RPRNMLRLLHLGFBN66DA,和群段,5.22,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02730000
RPUNMLPLLHLGFGN27DA,崙仔腳段,218.97,非都市：特定農業區 ; 非都市編定：農牧用地,32,3,持分移轉,07660000
RPUNMLPLLHLGFGN27DA,崙仔腳段,112.12,非都市：特定農業區 ; 非都市編定：農牧用地,32,3,持分移轉,07670000
RPUNMLPLLHLGFGN27DA,崙仔腳段,32.35,非都市：特定農業區 ; 非都市編定：農牧用地,32,3,持分移轉,07680000
RPUNMLPLLHLGFGN27DA,崙仔腳段,77.03,非都市：特定農業區 ; 非都市編定：水利用地,32,3,持分移轉,07690000
RPUNMLPLLHLGFGN27DA,崙仔腳段,132.38,非都市：特定農業區 ; 非都市編定：水利用地,32,3,持分移轉,07700000
RPUNMLMJMHLGFGN86DA,草湖北段,46.10,非都市：一般農業區 ; 非都市編定：甲種建築用地,8108,173,持分移轉,06900000
RPUNMLMJMHLGFGN86DA,草湖北段,40.38,非都市：一般農業區 ; 非都市編定：甲種建築用地,8108,173,持分移轉,06910000
RPUNMLLMLHLGFAN98DA,茄荖段,3.97,非都市：鄉村區 ; 非都市編定：交通用地,120,1,持分移轉,01680000
RPUNMLLMLHLGFAN98DA,茄荖段,145.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,2520,44,持分移轉,01690000
RPUNMLLMLHLGFAN98DA,茄荖段,.09,非都市：鄉村區 ; 非都市編定：交通用地,120,1,持分移轉,01730000
RPUNMLLMLHLGFAN98DA,茄荖段,3.04,非都市：鄉村區 ; 非都市編定：交通用地,27,1,持分移轉,01750000
RPRPMLQLLHLGFGN27DA,芳山段,330.98,都市：其他:住宅區,1,1,全筆移轉,08420000
RPTNMLPLLHLGFAN56DA,南郭段南郭小段,45.86,都市：其他:住宅區,10000,252,持分移轉,02330026
RPSNMLRLLHLGFFN17DA,新埤頭段,45.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,300000,20000,持分移轉,08180000
RPPNMLQLLHLGFBN98DA,伸南段,3.00,都市：其他:住宅區,1,1,全筆移轉,04140009
RPPNMLQLLHLGFBN98DA,伸南段,56.00,都市：其他:住宅區,1,1,全筆移轉,04150001
RPQOMLQLLHLGFAN09DA,福元段,91.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03730000
RPPNMLLMLHLGFBN58DA,大榮段,.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,14890003
RPPNMLLMLHLGFBN58DA,大榮段,39.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,14890006
RPWNMLLMLHLGFAN56DA,南口段,2.50,都市：其他:住宅區,2016,13,持分移轉,06560000
RPRNMLKMLHLGFGN56DA,臺山段,1592.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13870000
RPRNMLKMLHLGFGN56DA,臺山段,995.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13880000
RPVNMLKMLHLGFAN98DA,新芬園段,202.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,11000000
RPVNMLKMLHLGFAN98DA,新芬園段,202.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,11000001
RPPNMLKMLHLGFBN58EA,泰平段,48.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,324,4,持分移轉,02810000
RPQNMLKLLHLGFDN68DA,員林段,31.00,都市：其他:第三種住宅區。,1,1,全筆移轉,00200006
RPPOMLQLLHLGFAN98DA,福田段,42.34,非都市：山坡地保育區 ; 非都市編定：交通用地,4320,540,持分移轉,03990000
RPPOMLQLLHLGFAN98DA,福田段,235.42,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,05370000
RPQNMLKLLHLGFDN68DA,員林段,62.00,都市：其他:第三種住宅區。,1,1,全筆移轉,00230047
RPPNMLLMLHLGFDN78DA,東北段,255.95,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00680008
RPPNMLLMLHLGFDN78DA,東北段,4.79,非都市：特定農業區 ; 非都市編定：農牧用地,384,9,持分移轉,00680013
RPSNMLMJMHLGFGN66DA,豐田段,413.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,4000,1010,持分移轉,12210000
RPRNMLKMLHLGFFN09DA,信義段,277.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,4,持分移轉,02250000
RPTOMLQLLHLGFAN76DA,茄苳段,85.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07480000
RPTNMLKMLHLGFFN66DA,新下霸段,30.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,990,93,持分移轉,07570000
RPTNMLKMLHLGFFN66DA,新下霸段,784.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,330,93,持分移轉,07590000
RPTNMLKMLHLGFFN66DA,新下霸段,302.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,990,87,持分移轉,07720000
RPOOMLQLLHLGFAN88DA,新快官段,105.83,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03950000
RPPOMLKMLHLGFAN48DA,燕霧段,79.20,都市：其他:住宅區,1,1,全筆移轉,02900000
RPXNMLKMLHLGFDN86DA,僑信段,57.06,都市：其他:第二種住宅區,10000,221,持分移轉,02490000
RPTNMLRLLHLGFCN96DA,鹿雅段,24.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09470000
RPUNMLRLLHLGFCN07DA,鹿雅段,23.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09490000
RPQNMLRLLHLGFCN66DA,振興段,30.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,01540000
RPRNMLKMLHLGFCN78DA,元興段,1405.12,非都市：特定農業區 ; 非都市編定：農牧用地,1000,469,持分移轉,19340000
RPPNMLQJMHLGFCN98DA,福新段,53.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01130000
RPSNMLRLLHLGFCN86DA,鹿雅段,23.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09480000
RPPNMLRLLHLGFBN09DA,福新段,434.61,非都市：一般農業區 ; 非都市編定：養殖用地,3,2,持分移轉,04670002
RPUNMLOLLHLGFAN56DA,南郭段南郭小段,13.20,都市：其他:商業區,100000,1851,持分移轉,03860001
RPUNMLOLLHLGFAN56DA,南郭段南郭小段,11.51,都市：其他:住宅區,100000,1851,持分移轉,03860016
