編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLPLLHLGFBN76DA,一樓平面,0,,一樓
RPXNMLKMLHLGFDN86DA,坡道平面,0,,地下一樓
RPXNMLKMLHLGFDN86DA,坡道機械,0,,地下一樓
RPXNMLKMLHLGFDN86DA,坡道機械,0,,地下一樓
RPUNMLOLLHLGFAN56DA,坡道平面,2000000,33.41,地下一樓
RPUNMLPLLHLGFAN66DA,坡道機械,0,,地下一樓
RPPNMLSJMHLGFDN66DA,坡道機械,0,16.04,地下二樓
RPTNMLTKLHLGFHN57DA,坡道平面,1500000,41.20,地下一樓
RPTNMLLJMHLGFAN68DA,坡道機械,0,,地下一樓
RPQNMLRLLHLGFEN86DA,坡道平面,0,12.94,地下一樓
RPVNMLQLLHLGFAN86DA,坡道機械,0,15.78,地下二樓
RPQNMLLJMHLGFAN38DA,坡道平面,0,,地下二樓
RPPNMLMLLHLGFDN78DA,坡道平面,0,28.73,地下二樓
RPWNMLPLLHLGFAN86DA,坡道平面,0,,地下一樓
RPWNMLPLLHLGFAN86DA,坡道平面,0,,地下一樓
RPTNMLNLLHLGFHN07DA,一樓平面,0,13.84,一樓
RPPOMLQLLHLGFGN96DA,一樓平面,500000,,一樓
RPWOMLRLLHLGFAN17DA,坡道平面,0,,地下一樓
RPWNMLOLLHLGFGN37DA,一樓平面,1000000,17.85,一樓
RPSOMLQLLHLGFGN27DA,一樓平面,1000000,16.98,一樓
RPQOMLQLLHLGFGN07DA,一樓平面,1000000,16.98,一樓
RPOOMLRJMHLGFFN76DA,一樓平面,2390000,,一樓
RPVNMLMKLHLGFGN96DA,一樓平面,1000000,17.85,一樓
