鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,光華段568地號,144.0,住,,,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23960000,166389,,0.0,0,未登記建物；,RPUNMLRKLHLGFAO86DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市林森路２７５號１６樓之２,2.21,商,,,1150301,土地1建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0860520,27.62,1,0,1,有,有,3060000,110789,,0.0,0,,RPQNMLNLLHLGFAO78DA,19.98,0.39,0.06,有,
新竹市,房地(土地+建物),新竹市新竹市明湖路２１３巷３弄１０號,71.0,住,,,1150315,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630703,108.48,5,2,2,有,無,7500000,69137,,0.0,0,,RPPNMLKLLHLGFAO38DA,108.48,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路１５９號５樓之３,14.58,住,,,1150311,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850131,151.34,4,2,2,有,有,10000000,66076,坡道機械,26.31,0,陽台外推；,RPVOMLRLLHLGFAO17DA,91.51,3.33,13.48,有,
新竹市,土地,康朗段32-1地號,0.51,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40000,0,,0.0,0,,RPXNMLKMLHLGFAO66DA,0.0,0.0,0.0,無,
新竹市,車位,新竹市新竹市鐵道路二段３５１號二樓之１等,0.0,,,,1150311,土地0建物1車位1,,,其他,,,,32.63,0,0,0,無,有,2000000,,坡道平面,32.63,2000000,建物坐落地號：武陵段1202地號；僅車位交易；,RPWPMLQJLHLGFAO07DA,0.0,0.0,0.0,有,01
新竹市,車位,新竹市新竹市中央路３５５巷２０號,1.49,商,,,1150313,土地1建物1車位1,一層,十三層,其他,管理室,鋼筋混凝土造,0920110,18.1,0,0,0,無,無,1550000,,坡道平面,18.85,1550000,僅車位交易；,RPWNMLKMLHLGFAO56DA,0.0,0.0,0.0,無,02
新竹市,車位,新竹市新竹市中央路３５５巷２０號,1.28,商,,,1150313,土地1建物1車位1,一層,十三層,其他,管理室,鋼筋混凝土造,0920110,17.84,0,0,0,無,無,1450000,,坡道平面,16.67,1450000,僅車位交易；,RPOOMLKMLHLGFAO48DA,0.0,0.0,0.0,無,02
新竹市,房地(土地+建物),新竹市新竹市高翠路３２７巷６弄４６號,166.0,住,,,1150316,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1000711,414.93,46,0,46,有,無,68000000,163883,,0.0,0,,RPQNMLLJMHLGFAO58EA,384.39,0.0,30.54,有,04
