編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLKKKHLGFAO78DA,28,90.57,住宅,鋼筋混凝土造,87年4月10日,十二層,十二層 陽台,全筆移轉
RPVNMLKKKHLGFAO78DA,28,.30,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPVNMLKKKHLGFAO78DA,28,.19,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPVNMLKKKHLGFAO78DA,28,17.05,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVNMLKKKHLGFAO78DA,28,.06,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVNMLKKKHLGFAO78DA,28,.04,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVNMLKKKHLGFAO78DA,28,22.62,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVNMLKKKHLGFAO78DA,28,.06,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPVNMLKKKHLGFAO78DA,28,.08,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPSOMLKMLHLGFAO88DA,41,99.83,商業用,鋼筋混凝土造,74年9月9日,七層,一層,全筆移轉
RPOOMLKMLHLGFAO48DA,23,.05,管理室,鋼筋混凝土造,92年1月10日,十三層,一層,持分移轉
RPWNMLKMLHLGFAO56DA,23,.05,管理室,鋼筋混凝土造,92年1月10日,十三層,一層,持分移轉
RPOOMLKMLHLGFAO48DA,23,17.79,停車空間、機械室、騎樓、梯間、車道、防空避難室,鋼筋混凝土造,92年1月10日,十三層,,持分移轉
RPWNMLKMLHLGFAO56DA,23,18.05,停車空間、機械室、騎樓、梯間、車道、防空避難室,鋼筋混凝土造,92年1月10日,十三層,,持分移轉
RPPNMLKLLHLGFAO48EA,45,197.13,住商用,鋼筋混凝土造,69年9月19日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPUNMLLMLHLGFAO09DA,6,81.35,集合住宅,鋼筋混凝土造,109年4月28日,十三層,三層 陽台,全筆移轉
RPUNMLLMLHLGFAO09DA,6,73.70,共有部分,鋼筋混凝土造,109年4月28日,十三層,,持分移轉
RPTNMLQLLHLGFAO76DA,,106.31,住家用,加強磚造,,二層,一層 二層 陽台 平台,全筆移轉
RPPOMLKKKHLGFAO28DA,28,96.73,住宅,鋼筋混凝土造,87年4月10日,十二層,二層 陽台,全筆移轉
RPPOMLKKKHLGFAO28DA,28,.32,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPPNMLRLKHLGFAO98DA,65,118.26,住商用,加強磚造,49年11月9日,二層,一層 二層,全筆移轉
RPPOMLKKKHLGFAO28DA,28,.21,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPPOMLKKKHLGFAO28DA,28,18.61,住家用、突出物、梯間　,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPPOMLKKKHLGFAO28DA,28,.07,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPPOMLKKKHLGFAO28DA,28,.05,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPPOMLKKKHLGFAO28DA,28,24.62,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPPOMLKKKHLGFAO28DA,28,.06,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPPOMLKKKHLGFAO28DA,28,.09,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLLJMHLGFAO56DA,45,62.97,商業用,鋼筋混凝土造,69年12月22日,五層,一層 二層 三層 四層 五層 騎樓 避難室兼停車場,持分移轉
RPPNMLKLLHLGFAO38DA,52,108.48,住家用,加強磚造,63年7月3日,二層,一層 二層,全筆移轉
RPSOMLLJMHLGFAO78DA,47,50.76,住家用,鋼筋混凝土造,67年11月3日,四層,四層,全筆移轉
RPVOMLRLLHLGFAO17DA,30,108.32,住家用,鋼筋混凝土造,85年1月31日,十五層,五層 陽台 雨遮,全筆移轉
RPUOMLLMLHLGFAO56DA,18,24.75,辦公室,鋼筋混凝土造,97年7月1日,九層,四層 陽台,全筆移轉
RPVOMLRLLHLGFAO17DA,30,.34,管理員室,鋼筋混凝土造,85年1月31日,十五層,地下二層,持分移轉
RPUOMLLMLHLGFAO56DA,18,32.47,停車空間、機械室、污水機房、電信室、防空避難室兼停車空間、台電配電室、梯間、水箱,鋼筋混凝土造,97年7月1日,九層,,持分移轉
RPUOMLLMLHLGFAO56DA,18,.03,守衛室,鋼筋混凝土造,97年7月1日,九層,,持分移轉
RPVOMLRLLHLGFAO17DA,30,26.32,共有部分,鋼筋混凝土造,85年1月31日,十五層,,持分移轉
RPVOMLRLLHLGFAO17DA,30,16.36,共有部分,鋼筋混凝土造,85年1月31日,十五層,,持分移轉
RPVNMLLMLHLGFAO56DA,4,85.91,集合住宅,鋼筋混凝土造,111年4月26日,十三層,七層 陽台,全筆移轉
RPVNMLLMLHLGFAO56DA,4,23.32,共有部分,鋼筋混凝土造,111年4月26日,十三層,,持分移轉
RPVNMLLMLHLGFAO56DA,4,60.80,共有部分,鋼筋混凝土造,111年4月26日,十三層,,持分移轉
RPPOMLKMLHLGFAO58DA,27,88.48,住家用,鋼筋混凝土造,87年7月20日,八層,二層 陽台,全筆移轉
RPPOMLKMLHLGFAO58DA,27,.08,店舖、住宅,鋼筋混凝土造,87年7月20日,八層,一層 陽台,持分移轉
RPPOMLKMLHLGFAO58DA,27,10.27,共有部分,鋼筋混凝土造,87年7月20日,八層,,持分移轉
RPPOMLKMLHLGFAO58DA,27,.00,共有部分,鋼筋混凝土造,87年7月20日,八層,,持分移轉
RPPOMLKMLHLGFAO58DA,27,12.93,共有部分,鋼筋混凝土造,87年7月20日,八層,,持分移轉
RPPOMLKMLHLGFAO58DA,27,28.49,共有部分,鋼筋混凝土造,87年7月20日,八層,,持分移轉
RPTNMLTKLHLGFAO96DA,11,161.02,集合住宅,鋼筋混凝土造,104年1月14日,二十三層,二層 陽台 雨遮,全筆移轉
RPTNMLTKLHLGFAO96DA,11,30.65,共有部分,鋼筋混凝土造,104年1月14日,二十三層,,持分移轉
