編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLKMLHLGFAO48DA,坡道平面,1450000,16.67,地下四樓
RPWNMLKMLHLGFAO56DA,坡道平面,1550000,18.85,地下四樓
RPUNMLLMLHLGFAO09DA,坡道平面,0,29.79,地下二樓
RPTNMLQLLHLGFAO76DA,一樓平面,0,,一樓
RPUOMLLMLHLGFAO56DA,坡道機械,0,19.16,地下一樓
RPVOMLRLLHLGFAO17DA,坡道機械,0,26.31,地下二樓
RPVNMLLMLHLGFAO56DA,坡道平面,0,35.02,地下二樓
RPPOMLKMLHLGFAO58DA,坡道平面,0,,地下一樓
RPTNMLTKLHLGFAO96DA,坡道平面,0,,地下三樓
RPTNMLTKLHLGFAO96DA,坡道平面,0,,地下三樓
RPVNMLKMLHLGFAO09DA,坡道平面,0,31.47,地下一樓
RPVNMLKMLHLGFAO09DA,坡道平面,0,31.47,地下一樓
RPQOMLQLLHLGFAO56DA,坡道平面,0,34.91,地下二樓
RPROMLMJMHLGFAO78DA,坡道平面,0,,地下二樓
RPQPMLLJMHLGFAO68DA,其他,0,13.00,一樓
RPPOMLOJLHLGFAO68DA,坡道平面,0,,地下二樓
RPPOMLOJLHLGFAO68DA,坡道平面,0,,地下二樓
RPQNMLLMLHLGFAO68DA,坡道平面,2000000,27.28,地下三樓
RPQNMLLMLHLGFAO68DA,坡道平面,2100000,29.61,地下三樓
RPRNMLLMLHLGFAO78DA,坡道平面,2300000,29.61,地下二樓
RPTNMLLMLHLGFAO98DA,坡道平面,1800000,29.61,地下二樓
RPTNMLLMLHLGFAO98DA,坡道平面,1800000,29.61,地下二樓
RPRPMLNLLHLGFAO09DA,坡道機械,0,,地下三樓
RPQNMLRKJHLGFAO88DA,坡道平面,0,,地下二樓
RPPNMLRLLHLGFAO56EA,坡道平面,0,27.54,地下三樓
RPPOMLOLLHLGFAO88DA,坡道機械,0,,地下二樓
RPWPMLQJLHLGFAO07DA,坡道平面,2000000,32.63,地下一樓
RPRNMLPLLHLGFAO09DA,坡道平面,0,,地下二樓
RPRNMLLJMHLGFAO68EA,坡道平面,0,,地下三樓
