鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市埔頂三路３８號二十八樓之３,0.0,,,,1150302,土地0建物1車位0,二十八層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,148.82999999999998,4,2,2,有,有,有,28000,188,,0.0,0,續租案件；,RPQNMLOJLHLGFAO78CC,整棟(戶)出租,有,1150310~1160309,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市中華路二段１７０巷２號五樓之１,0.0,,,,1150303,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1001015,106.75999999999999,3,2,2,有,有,有,29800,279,,0.0,0,續租案件；,RPRNMLOJLHLGFAO88CC,整棟(戶)出租,有,1150304~1160303,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市花園街５６號１１F之３,0.0,,,,1150303,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,36.67,1,0,1,有,有,有,8000,218,,0.0,0,續租案件；,RPUNMLOJLHLGFAO56CC,獨立套房,有,1150328~1160121,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市高?路１號６樓,0.0,,,,1150304,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850509,102.92999999999999,3,2,2,有,有,有,17000,165,,0.0,0,租金總額含管理費；續租案件；,RPPNMLPJLHLGFAO78CC,整棟(戶)出租,有,1150311~1160310,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市武陵路２７１巷５號７樓之２,0.0,,,,1150304,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860719,141.71,4,2,2,有,有,有,18500,131,,0.0,0,續租案件；,RPRNMLQJLHLGFAO09CC,整棟(戶)出租,有,1150321~1160320,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市牛埔路１３５之５號十二樓,0.0,,,,1150302,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970131,69.08,2,2,1,有,有,有,14000,203,,0.0,0,,RPQOMLQJLHLGFAO09CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市介壽一路２６號１４樓之１,0.0,,,,1150301,土地0建物1車位1,十四層,26,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130305,169.63,3,2,2,有,有,有,45000,265,坡道平面,27.9,0,,RPPNMLRJLHLGFAO98CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋+車位,新竹市新竹市中華路二段２５７號１５樓之３,0.0,,,,1150301,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1121110,146.57999999999998,3,2,2,有,有,有,49218,336,坡道平面,35.94,0,租金總額含網路費；,RPQNMLRJLHLGFAO09CC,整棟(戶)出租,有,1150301~1160228,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
新竹市,租賃房屋,新竹市新竹市光復路一段５７６巷１６弄１１號５樓之３,0.0,,,,1150305,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1101206,45.36,1,1,1,有,有,有,22000,485,,0.0,0,租金總額含管理費；網路費；,RPRNMLRJLHLGFAO56CC,獨立套房,無,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
