鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
西螺鎮,土地,西中段959地號,2512.39,農,,,1150401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17586730,7000,,0.0,0,,RPPNMLMJMHLGFCP88EA,0.0,0.0,0.0,無,
斗六市,土地,光明段660-1地號,99.08,,工業區,丁種建築用地,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,36334,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKLLHLGFAP88DA,0.0,0.0,0.0,無,001
斗六市,土地,九老爺段417地號,64.97,,鄉村區,乙種建築用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,687800,10586,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLRLLHLGFAP86DA,0.0,0.0,0.0,無,002
斗六市,房地(土地+建物),雲林縣斗六市內林路８３之１號,138.94,,鄉村區,乙種建築用地,1150306,土地1建物1車位0,全,二層,透天厝,住家用,鋼骨ＲＣ造,1050324,131.27,4,2,4,有,無,3600000,27424,,0.0,0,未登記建物；,RPQNMLKMLHLGFAP68DA,126.64,0.0,4.63,無,
莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉中正路７５之５號四樓,24.91,住,,,1150318,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850722,152.84,4,2,2,有,有,5318000,34795,坡道機械,0.0,0,,RPTNMLKMLHLGFAP98DA,120.11,0.6,12.76,有,
古坑鄉,土地,新園段28地號,2955.09,,一般農業區,農牧用地,1150324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,203,,0.0,0,農業設施；,RPUNMLKMLHLGFAP09DA,0.0,0.0,0.0,無,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮光復東路６３巷１弄９號,111.3,住,,,1150307,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0870112,207.60000000000002,4,2,3,有,無,7200000,34682,坡道平面,0.0,0,1.停車位編號9號2.賣方附贈部分家具,RPQNMLQLLHLGFCP76DA,161.98,0.0,7.38,無,
口湖鄉,土地,下崙段2528地號,1787.0,,一般農業區,農牧用地,1150323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1608300,900,,0.0,0,,RPWNMLQLLHLGFEP57DA,0.0,0.0,0.0,無,003
麥寮鄉,土地,福安段44地號,3681.0,,一般農業區,農牧用地,1150302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3310000,899,,0.0,0,,RPPNMLOLLHLGFFP76DA,0.0,0.0,0.0,無,004
東勢鄉,土地,安南段1066地號,2133.48,,特定農業區,農牧用地,1150315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1706784,800,,0.0,0,,RPPNMLLMLHLGFFP56DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮林森路一段３６０巷３３號十一樓,16.05,商,,,1150302,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840406,112.97999999999999,3,2,2,有,有,5300000,46911,,0.0,0,,RPPNMLRLLHLGFDP96EA,82.25,0.0,11.66,有,
台西鄉,土地,台興段420地號,3075.8,,工業區,丁種建築用地,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3075000,1000,,0.0,0,,RPPNMLLMLHLGFFP66EA,0.0,0.0,0.0,無,005
古坑鄉,土地,西華段875地號,0.5,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17100,0,,0.0,0,協議價購；,RPUOMLPLLHLGFAP96DA,0.0,0.0,0.0,無,006
古坑鄉,土地,西華段875地號,0.5,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17100,0,,0.0,0,協議價購；,RPVOMLPLLHLGFAP07DA,0.0,0.0,0.0,無,006
古坑鄉,土地,東興段1495地號,4.83,都市：其他:道路用地,,,1150310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,168200,34824,,0.0,0,協議價購；,RPWOMLPLLHLGFAP17DA,0.0,0.0,0.0,無,008
古坑鄉,土地,東興段1613地號,17.5,都市：其他:道路用地,,,1150310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,609000,34800,,0.0,0,協議價購；,RPOPMLPLLHLGFAP09DA,0.0,0.0,0.0,無,009
斗六市,建物,雲林縣斗六市長安路２７６巷４２號,0.0,,,,1150303,土地0建物1車位0,全,一層,透天厝,住家用,加強磚造,0720615,21.77,3,2,2,有,無,380000,17455,,0.0,0,建物坐落地號：長安段378-1地號；親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMLHLGFAP88DA,21.77,0.0,0.0,無,
斗南鎮,房地(土地+建物),雲林縣斗南鎮黎明一街２１號,25.88,住,,,1150313,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131009,59.76,4,2,5,有,無,5000000,83668,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMLHLGFBP78DA,54.04,0.0,5.72,有,010
口湖鄉,土地,開元段257地號,2437.0,,一般農業區,農牧用地,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1535310,630,,0.0,0,,RPRNMLTKLHLGFEP27DA,0.0,0.0,0.0,無,
二崙鄉,土地,八角亭段386地號,104.0,,特定農業區,甲種建築用地,1150308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,975000,9375,,0.0,0,,RPPNMLRLLHLGFCP86EA,0.0,0.0,0.0,無,
古坑鄉,土地,東興段1621地號,7.0,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,232400,33200,,0.0,0,協議價購；,RPROMLPLLHLGFAP66DA,0.0,0.0,0.0,無,011
古坑鄉,土地,東興段1405地號,55.33,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1798333,32502,,0.0,0,協議價購；,RPSOMLPLLHLGFAP76DA,0.0,0.0,0.0,無,012
古坑鄉,土地,西華段863地號,2.25,都市：其他:道路用地,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,75150,33400,,0.0,0,協議價購；,RPTOMLPLLHLGFAP86DA,0.0,0.0,0.0,無,013
