編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRLLHLGFCP86EA,八角亭段,104.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03860000
RPPNMLMJMHLGFCP88EA,西中段,2512.39,都市：其他:農業區,1,1,全筆移轉,09590000
RPWNMLQLLHLGFEP57DA,下崙段,1787.00,非都市：一般農業區 ; 非都市編定：農牧用地,5144,3574,持分移轉,25280000
RPROMLRLLHLGFAP86DA,九老爺段,64.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1109304,17608,持分移轉,04170000
RPTNMLKMLHLGFAP98DA,樹子腳段,24.91,都市：其他:住宅區,100000,1441,持分移轉,06090029
RPOPMLPLLHLGFAP09DA,東興段,9.50,都市：其他:道路用地,69240,17310,持分移轉,16130000
RPUOMLPLLHLGFAP96DA,西華段,.50,都市：其他:道路用地,4,1,持分移轉,08750000
RPUNMLKMLHLGFAP09DA,新園段,2955.09,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00280000
RPSOMLPLLHLGFAP76DA,東興段,55.33,都市：其他:道路用地,3,1,持分移轉,14050000
RPWOMLPLLHLGFAP17DA,東興段,4.20,都市：其他:道路用地,120,4,持分移轉,14950000
RPWOMLPLLHLGFAP17DA,東興段,.63,都市：其他:道路用地,30,1,持分移轉,15020000
RPOPMLPLLHLGFAP09DA,東興段,8.00,都市：其他:道路用地,55392,13848,持分移轉,16150000
RPROMLPLLHLGFAP66DA,東興段,7.00,都市：其他:道路用地,18,2,持分移轉,16210000
RPQNMLKMLHLGFAP68DA,梅林東段,138.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10940000
RPVOMLPLLHLGFAP07DA,西華段,.50,都市：其他:道路用地,4,1,持分移轉,08750000
RPTNMLKLLHLGFAP88DA,光明段,99.08,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06600001
RPTOMLPLLHLGFAP86DA,西華段,2.25,都市：其他:道路用地,4,1,持分移轉,08630000
RPWNMLKMLHLGFAP66DA,三平段,19.60,都市：其他:第一種住宅區,10000,95,持分移轉,00220000
RPWNMLLMLHLGFAP76DA,鎮南段,115.33,都市：其他:住宅區,1,1,全筆移轉,08950000
RPWNMLLMLHLGFAP76DA,鎮南段,703.67,都市：其他:住宅區,1,1,全筆移轉,08960000
RPWNMLLJMHLGFEP96DA,龍岩厝段,751.80,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,11830000
RPUNMLLMLHLGFAP56DA,中正一段,5.59,都市：其他:商業區,10000,37,持分移轉,08100000
RPXNMLLJMHLGFEP07DA,後寮段,1761.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04620001
RPXNMLLJMHLGFEP07DA,後寮段,1647.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04630000
RPSNMLOLLHLGFCP76DA,西螺段,86.00,都市：其他:住宅區,1,1,全筆移轉,08300091
RPXNMLLJMHLGFAP66DA,南安段,115.12,都市：其他:住宅區,1,1,全筆移轉,02090003
RPQNMLPLLHLGFCP66DA,來惠段,1233.85,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03280000
RPQNMLMJMHLGFAP68DA,麻園段,65.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14880035
RPRNMLKMLHLGFCP98DA,貓兒干段,2762.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12130001
RPRNMLLMLHLGFCP09DA,草湖段,2280.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01530000
RPWNMLLMLHLGFEP17DA,東光段,2059.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07700000
RPQNMLQLLHLGFCP76DA,新街段,23.02,都市：其他:住宅區,96,2,持分移轉,02230000
RPQNMLQLLHLGFCP76DA,新街段,.69,都市：其他:住宅區,96,2,持分移轉,02320000
RPQNMLQLLHLGFCP76DA,新街段,87.60,都市：其他:住宅區,1,1,全筆移轉,02350000
RPQNMLTKLHLGFEP17DA,蕃薯段,2432.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19480000
RPRNMLTKLHLGFEP27DA,開元段,2437.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02570000
RPPNMLQLLHLGFCP76EA,埔北段,90.30,都市：其他:住宅區,7,1,持分移轉,04740000
RPPNMLOLLHLGFFP76DA,福安段,986.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00190000
RPPNMLOLLHLGFFP76DA,福安段,2695.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00440000
RPPNMLLMLHLGFFP56DA,安南段,2133.48,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10660000
RPPNMLRLLHLGFDP96EA,明正段,16.05,都市：其他:商業區,10000,57,持分移轉,08880000
RPQNMLLMLHLGFDP56EA,內安段,99.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08950000
RPRNMLMJMHLGFDP56EA,五間段,15.07,都市：其他:住宅區,8,1,持分移轉,04900002
RPRNMLMJMHLGFDP56EA,五間段,44.25,都市：其他:住宅區,1,1,全筆移轉,04900003
RPRNMLMJMHLGFDP56EA,五間段,7.79,都市：其他:住宅區,24,1,持分移轉,04930000
RPQNMLMJMHLGFDP09EA,龍林段,448.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,03570000
