編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLQJLHLGFDP76CC,4,19.44,住家用,鋼筋混凝土造,111年7月27日,三層,,
RPPNMLKKLHLGFDP78CC,6,41.76,集合住宅,鋼筋混凝土造,109年5月19日,十層,,
RPPNMLKKLHLGFDP78CC,6,20.03,本共有部分之項目有停車空間、管理委員會空間、走廊、梯廳、樓梯間、昇降機間、機房、水箱、防空避難室兼停車空間等９項,鋼筋混凝土造,109年5月19日,十層,,
RPQNMLLKLHLGFEP09CC,31,80.66,住家用,鋼筋混凝土造,84年8月16日,五層,,
RPQNMLLKLHLGFEP09CC,31,.99,梯間,鋼筋混凝土造,84年8月16日,五層,,
RPPNMLLKLHLGFEP98CC,31,80.66,住家用,鋼筋混凝土造,84年8月16日,五層,,
RPPNMLLKLHLGFEP98CC,31,.99,梯間,鋼筋混凝土造,84年8月16日,五層,,
RPPNMLMJLHLGFEP98CC,52,18.00,住家用,木石磚造（磚石造）；加強磚造,63年1月15日,二層,,
RPPNMLQKLHLGFEP86CC,4,15.00,住家用,鋼筋混凝土造,111年5月22日,四層,,
RPXNMLKKLHLGFAP66CC,16,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPXNMLKKLHLGFAP66CC,16,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPXNMLKKLHLGFAP66CC,16,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPOMLKKLHLGFAP58CC,16,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPOMLKKLHLGFAP58CC,16,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPOOMLKKLHLGFAP48CC,16,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPOMLKKLHLGFAP58CC,16,6.49,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMKLHLGFAP68CC,31,48.50,住家用,鋼筋混凝土造,83年10月10日,四層,,
RPOOMLKKLHLGFAP48CC,16,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPOOMLKKLHLGFAP48CC,16,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLNKLHLGFAP78CC,16,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLNKLHLGFAP78CC,16,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
