鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中埔鄉,土地,社口段37-73地號,754.67,,山坡地保育區,丙種建築用地,1150304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,11926,,0.0,0,,RPTNMLOLLHLGFDQ07DA,0.0,0.0,0.0,無,001
水上鄉,土地,新三界埔段1360地號,80.82,,山坡地保育區,丙種建築用地,1150302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,235377,2912,,0.0,0,地清或未辦繼承標售；,RPXNMLPLLHLGFDQ57DA,0.0,0.0,0.0,無,002
太保市,土地,新埤段新埤小段1036地號,2274.0,,特定農業區,農牧用地,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8940000,3931,,0.0,0,,RPQNMLQLLHLGFDQ96DA,0.0,0.0,0.0,無,
鹿草鄉,土地,重寮段344地號,180.86,,鄉村區,乙種建築用地,1150306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1661261,9185,,0.0,0,含土地增值稅或其他稅費21261元；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRLLHLGFDQ07DA,0.0,0.0,0.0,無,
朴子市,土地,內厝段243地號,221.75,都市：其他:道路用地,,,1150314,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,280000,1263,,0.0,0,包含公共設施保留地用地；,RPPNMLRLLHLGFBQ86EA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市大鄉里大榔７９１號,147.14,住,,,1150317,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830107,151.77,5,1,3,有,無,7800000,51394,,0.0,0,,RPSNMLRKLHLGFBQ96DA,126.3,25.47,0.0,無,
布袋鎮,土地,建興段797地號,202.79,,鄉村區,乙種建築用地,1150323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,5917,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNLLHLGFBQ86DA,0.0,0.0,0.0,無,
朴子市,土地,下竹圍段佳禾小段794-3地號,132.25,,鄉村區,乙種建築用地,1150314,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2434190,18406,,0.0,0,,RPPNMLOLLHLGFBQ09DA,0.0,0.0,0.0,無,003
東石鄉,土地,下揖子寮段下揖小段170地號,3471.0,,一般農業區,農牧用地,1150325,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2186730,630,,0.0,0,,RPUNMLPLLHLGFBQ07DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉西安村西安路３６之１７號,141.7,住,,,1150312,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060622,310.07,5,2,6,有,無,21200000,68372,,0.0,0,,RPQNMLLMLHLGFCQ09DA,289.73,20.34,0.0,無,004
太保市,房地(土地+建物),嘉義縣太保市麻寮里中山路二段１３７巷１４弄６號,77.79,住,,,1150305,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,97.2,3,1,2,有,無,4500000,46296,,0.0,0,,RPSNMLNLLHLGFDQ86DA,97.2,0.0,0.0,無,
番路鄉,土地,大湖段84-17地號,1301.5,,森林區,農牧用地,1150316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,192,,0.0,0,,RPPNMLQKLHLGFEQ86DA,0.0,0.0,0.0,無,
竹崎鄉,房地(土地+建物),嘉義縣竹崎鄉竹崎村１４鄰中山路２６２之１號,73.63,商,,,1150320,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0710305,164.69,2,1,2,有,無,13880000,84280,,0.0,0,頂樓加蓋；,RPPNMLLMLHLGFEQ56DA,158.92,5.77,0.0,無,
鹿草鄉,土地,鹿南段273-11地號,2.88,住,,,1150306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,124013,43060,,0.0,0,政府機關標讓售；,RPPNMLKMLHLGFDQ09EA,0.0,0.0,0.0,無,
義竹鄉,土地,過路子段過路小段801地號,1040.0,,特定農業區,農牧用地,1150320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,962,,0.0,0,,RPQNMLLLLHLGFBQ88DA,0.0,0.0,0.0,無,
民雄鄉,土地,福興段803地號,4.24,,一般農業區,甲種建築用地,1150323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,69258,16334,,0.0,0,,RPQNMLQLLHLGFCQ86DA,0.0,0.0,0.0,無,005
水上鄉,房地(土地+建物),嘉義縣水上鄉粗溪村中山路二段９３２號,1302.0,,特定農業區,甲種建築用地,1150323,土地1建物4車位0,全,二層,透天厝,辦公用,鋼筋混凝土加強磚造,0700303,910.35,4,3,5,有,無,40910000,44939,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLLMLHLGFDQ56DA,901.07,9.28,0.0,無,
東石鄉,土地,港墘段港墘小段163地號,1204.0,,一般農業區,農牧用地,1150304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,2492,,0.0,0,,RPRNMLTKLHLGFBQ07DA,0.0,0.0,0.0,無,
義竹鄉,土地,頭竹新段10地號,2585.02,,一般農業區,農牧用地,1150322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1447611,560,,0.0,0,,RPPNMLMLLHLGFBQ88DA,0.0,0.0,0.0,無,
布袋鎮,土地,貴舍新段313地號,370.67,,一般農業區,農牧用地,1150308,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,971,,0.0,0,313地號有農作物317地號有未保存建物親友、員工、共有人或其他特殊關係間之交易；未登記建物；農作物；,RPQNMLKMLHLGFBQ88DA,0.0,0.0,0.0,無,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉六南村六２７６號之１３,214.21,,鄉村區,乙種建築用地,1150323,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0840414,218.04,6,2,3,有,無,8380000,38433,,0.0,0,,RPWNMLLMLHLGFBQ96DA,211.5,6.54,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市仁和里仁和二路１３９號七樓之５,7.6,住,,,1150322,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,31.21,1,0,1,有,有,2500000,80103,,0.0,0,,RPOOMLLMLHLGFBQ88DA,17.27,0.0,1.92,有,006
水上鄉,房地(土地+建物),嘉義縣水上鄉民生村成功街８巷２３號,74.34,,鄉村區,乙種建築用地,1150308,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690301,88.82,4,2,3,有,無,7800000,87818,,0.0,0,頂樓加蓋；,RPPNMLLJMHLGFDQ98EA,88.82,0.0,0.0,無,007
義竹鄉,土地,傳芳段227地號,130.53,都市：其他:住宅區,,,1150305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1185000,9078,,0.0,0,,RPOQMLOJLHLGFBQ09DA,0.0,0.0,0.0,無,
東石鄉,土地,港墘段港墘小段320地號,2354.0,,一般農業區,農牧用地,1150317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,2549,,0.0,0,,RPQNMLSKLHLGFBQ86DA,0.0,0.0,0.0,無,
六腳鄉,土地,雙涵段雙涵小段7地號,2890.0,,特定農業區,農牧用地,1150304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3323500,1150,,0.0,0,,RPPNMLLJMHLGFBQ68DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市崁前里崁前８０號,207.0,,鄉村區,乙種建築用地,1150324,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721215,155.69,6,5,3,有,無,4800000,30830,,0.0,0,未登記建物；,RPPNMLMJMHLGFBQ78DA,133.64,7.25,14.8,無,
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉福樂村埤角２之２０６號十樓,19.62,都市：其他:住宅區,,,1150312,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830808,110.34,3,2,1,有,有,4750000,43049,坡道機械,0.0,0,其他增建；,RPVNMLLJMHLGFCQ76DA,67.09,0.0,8.25,有,008
水上鄉,土地,柳鄉段1442-2地號,40.04,,鄉村區,乙種建築用地,1150313,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,726600,18147,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNJMHLGFDQ09DA,0.0,0.0,0.0,無,
梅山鄉,土地,梅南段67地號,44.41,商,,,1150312,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,240000,5404,,0.0,0,,RPPNMLLJMHLGFEQ09EA,0.0,0.0,0.0,無,
大林鎮,土地,下埤頭段下埤頭小段230地號,3183.0,,特定農業區,農牧用地,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7798000,2450,,0.0,0,,RPQNMLRJMHLGFCQ86DA,0.0,0.0,0.0,無,
大林鎮,房地(土地+建物),嘉義縣大林鎮義和里三塊厝１５２號,107.0,,特定農業區,甲種建築用地,1150310,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690731,116.65,2,2,2,有,無,4300000,36862,,0.0,0,有整修,RPRNMLRJMHLGFCQ96DA,116.65,0.0,0.0,無,
太保市,土地,茄苳段78-9地號,50.33,都市：其他:道路用地,,,1150326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1676400,33308,,0.0,0,,RPRNMLMJMHLGFDQ56DA,0.0,0.0,0.0,無,
太保市,房地(土地+建物),嘉義縣太保市東勢里故宮大道７５１號,166.21,都市：其他:住宅區,,,1150306,土地8建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0960614,345.31,6,1,6,有,有,26800000,77611,,0.0,0,,RPPNMLQJMHLGFDQ76DA,307.96,37.35,0.0,無,
大林鎮,土地,新大埔美段2885地號,99.65,,鄉村區,乙種建築用地,1150327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,6623,,0.0,0,,RPPNMLRJMHLGFCQ86EA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉秀林村林子尾４８之１號,141.07,,鄉村區,乙種建築用地,1150203,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030526,206.94,5,2,3,有,無,12800000,61854,,0.0,0,其他增建；,RPRNMLOLLHLGFCQ76DA,194.76,12.18,0.0,無,009
水上鄉,土地,新三界埔段1360地號,80.82,,山坡地保育區,丙種建築用地,1150224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,235377,2912,,0.0,0,地清或未辦繼承標售；,RPVNMLNLLHLGFDQ17DA,0.0,0.0,0.0,無,002
太保市,房地(土地+建物)+車位,嘉義縣太保市春珠里保鐵一路二段９３號十五樓之６,29.34,住,,,1150222,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060421,132.69,2,2,2,有,有,11800000,88929,坡道平面,29.87,0,,RPOOMLPLLHLGFDQ76DA,63.79,0.0,8.9,有,011
中埔鄉,土地,太保段太保小段343-11地號,31.0,商,,,1150226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,980000,31613,,0.0,0,政府機關標讓售；,RPRNMLPJLHLGFDQ76DA,0.0,0.0,0.0,無,
水上鄉,土地,仁安段878地號,2087.52,,一般農業區,水利用地,1150210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2713783,1300,,0.0,0,協議價購；,RPWPMLNLLHLGFDQ47DA,0.0,0.0,0.0,無,012
中埔鄉,土地,隆恩段1532-1地號,3.62,,特定農業區,農牧用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7233,1998,,0.0,0,協議價購；,RPRNMLRLLHLGFDQ17DA,0.0,0.0,0.0,無,013
中埔鄉,土地,隆恩段1532-1地號,3.62,,特定農業區,農牧用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7233,1998,,0.0,0,協議價購；,RPSNMLRLLHLGFDQ27DA,0.0,0.0,0.0,無,013
中埔鄉,土地,隆恩段1532-1地號,3.62,,特定農業區,農牧用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7233,1998,,0.0,0,協議價購；,RPTNMLRLLHLGFDQ37DA,0.0,0.0,0.0,無,013
中埔鄉,土地,隆恩段768-1地號,11.25,,特定農業區,水利用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21379,1900,,0.0,0,協議價購；,RPUNMLRLLHLGFDQ47DA,0.0,0.0,0.0,無,016
中埔鄉,土地,隆恩段768-1地號,11.25,,特定農業區,水利用地,1150210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21379,1900,,0.0,0,協議價購；,RPVNMLRLLHLGFDQ57DA,0.0,0.0,0.0,無,016
中埔鄉,土地,新段511-2地號,199.77,,山坡地保育區,水利用地,1150210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380213,1903,,0.0,0,協議價購；,RPWNMLRLLHLGFDQ67DA,0.0,0.0,0.0,無,018
中埔鄉,土地,新段511-2地號,199.77,,山坡地保育區,水利用地,1150210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380213,1903,,0.0,0,協議價購；,RPXNMLRLLHLGFDQ77DA,0.0,0.0,0.0,無,018
