編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKMLHLGFDQ09EA,鹿南段,2.88,都市：其他:住宅區,1,1,全筆移轉,02730011
RPPNMLRLLHLGFBQ86EA,內厝段,203.50,都市：其他:道路用地,2,1,持分移轉,02430000
RPPNMLRLLHLGFBQ86EA,內厝段,9.00,都市：其他:道路用地,4,1,持分移轉,02580000
RPPNMLRLLHLGFBQ86EA,內厝段,9.25,都市：其他:道路用地,4,1,持分移轉,02590000
RPQNMLLMLHLGFDQ56DA,粗溪段粗溪小段,1302.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04740000
RPQNMLRLLHLGFDQ07DA,重寮段,180.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03440000
RPQNMLQLLHLGFDQ96DA,新埤段新埤小段,2274.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10360000
RPXNMLPLLHLGFDQ57DA,新三界埔段,80.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,60,3,持分移轉,13600000
RPPNMLLJMHLGFDQ98EA,寬士段,74.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01560000
RPOQMLOJLHLGFBQ09DA,傳芳段,121.28,都市：其他:住宅區,18,1,持分移轉,02270000
RPOQMLOJLHLGFBQ09DA,傳芳段,9.26,都市：其他:住宅區,18,1,持分移轉,02300000
RPPNMLQKLHLGFEQ86DA,大湖段,1301.50,非都市：森林區 ; 非都市編定：農牧用地,2,1,持分移轉,00840017
RPPNMLLMLHLGFEQ56DA,真武段,6.25,都市：其他:商業區,1,1,全筆移轉,07680001
RPPNMLLMLHLGFEQ56DA,真武段,67.38,都市：其他:商業區,1,1,全筆移轉,07690000
RPWNMLLMLHLGFBQ96DA,六腳新段,214.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08650000
RPOOMLLMLHLGFBQ88DA,嘉朴段,7.60,都市：其他:住宅區,100000,132,持分移轉,02620000
RPUNMLPLLHLGFBQ07DA,下揖子寮段下揖小段,1787.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01700000
RPQNMLKMLHLGFBQ88DA,貴舍新段,290.72,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,03130000
RPQNMLKMLHLGFBQ88DA,貴舍新段,69.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,2,持分移轉,03170000
RPQNMLKMLHLGFBQ88DA,貴舍新段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,3630,67,持分移轉,03180000
RPUNMLPLLHLGFBQ07DA,下揖子寮段下揖小段,1684.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01940000
RPPNMLOLLHLGFBQ09DA,下竹圍段佳禾小段,21.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,120,6,持分移轉,07940000
RPPNMLOLLHLGFBQ09DA,下竹圍段佳禾小段,111.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07940003
RPPNMLNJMHLGFDQ09DA,柳鄉段,17.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,1,持分移轉,14420000
RPPNMLNJMHLGFDQ09DA,柳鄉段,22.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14420002
RPRNMLMJMHLGFDQ56DA,茄苳脚段,5.67,都市：其他:道路用地,15,5,持分移轉,00780008
RPRNMLMJMHLGFDQ56DA,茄苳脚段,44.67,都市：其他:停車場,15,5,持分移轉,00780009
RPPNMLLJMHLGFEQ09EA,梅南段,25.39,都市：其他:第二種住宅區,853,9,持分移轉,00670000
RPPNMLLJMHLGFEQ09EA,梅南段,7.28,都市：其他:道路用地,853,9,持分移轉,00680000
RPPNMLLJMHLGFEQ09EA,梅南段,10.79,都市：其他:商業區,853,9,持分移轉,00690000
RPPNMLLJMHLGFEQ09EA,梅南段,.95,都市：其他:商業區,853,9,持分移轉,00910000
RPOOMLPLLHLGFDQ76DA,太頂珠段,29.34,都市：其他:住宅區,100000,209,持分移轉,00240004
RPVNMLNLLHLGFDQ17DA,新三界埔段,80.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20,1,持分移轉,13600000
RPTNMLOLLHLGFDQ07DA,社口段,112.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,3,2,持分移轉,00370052
RPTNMLOLLHLGFDQ07DA,社口段,310.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00370072
RPTNMLOLLHLGFDQ07DA,社口段,332.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00370073
RPSNMLNLLHLGFDQ86DA,麻寮段,77.79,都市：其他:住宅區,1,1,全筆移轉,06300000
RPPNMLRJMHLGFCQ86EA,新大埔美段,99.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,2032128,17199,持分移轉,28850000
