鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋,嘉義縣太保市過溝里過溝３４之１８號,0.0,,,,1150303,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0720506,117.87,6,3,3,有,無,有,35000,297,,0.0,0,含增建或未登記建物；,RPPNMLNJLHLGFDQ09CC,整棟(戶)出租,無,1150310~1160309,無,冷氣、熱水器,
大林鎮,租賃房屋,嘉義縣大林鎮平林里２９鄰共和街５４號四樓,0.0,,,,1150302,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0820217,113.21,3,1,2,有,有,有,8000,71,,0.0,0,續租案件；,RPPNMLOJLHLGFCQ09CC,整棟(戶)出租,無,1150324~1160323,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉?福村?福７８號之８７,0.0,,,,1150301,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0811007,161.77,4,1,3,有,無,有,20000,124,,0.0,0,,RPQNMLOJLHLGFCQ56CC,整棟(戶)出租,無,1150305~1180304,無,冷氣、熱水器、洗衣機、冰箱,
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３９號四樓之５１,0.0,,,,1150302,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,31.23,1,1,1,有,有,有,8000,256,,0.0,0,續租案件；,RPPNMLPJLHLGFBQ09CC,獨立套房,有,1150311~1160310,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
朴子市,租賃房屋,嘉義縣朴子市祥和二路西段６２號三樓之２５,0.0,,,,1150304,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1060418,56.01,1,0,1,有,有,有,16750,299,,0.0,0,月租金18000元含管理費1250、網路費租金總額含網路費；,RPQNMLPJLHLGFBQ56CC,獨立套房,有,1150304~1160303,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋,嘉義縣太保市安仁里祥和二路東段７７號,0.0,,,,1150305,土地0建物0車位0,全,4,透天厝,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,0960208,51.17,10,0,11,有,無,有,15000,293,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLQJLHLGFDQ76CC,分租套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１５６號１１樓之６,0.0,,,,1150305,土地0建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,94.59,2,2,2,有,有,有,25000,264,坡道平面,16.82,0,租金總額含管理費；,RPSNMLQJLHLGFDQ07CC,整棟(戶)出租,有,1150305~1160304,有,冷氣、熱水器、洗衣機、電視機、冰箱,
民雄鄉,租賃房屋,嘉義縣民雄鄉鎮北村圳溝墘１９號２樓之７,0.0,,,,1150301,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,24.83,1,0,1,有,無,有,4600,185,,0.0,0,租金總額含網路費；,RPRNMLRJLHLGFCQ96CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
民雄鄉,租賃房屋,嘉義縣民雄鄉鎮北村圳溝墘１９號５樓之６,0.0,,,,1150301,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840815,26.85,1,0,1,有,無,有,4600,171,,0.0,0,租金總額含網路費；,RPTNMLRJLHLGFCQ17CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
