編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLRJLHLGFCQ17CC,31,21.08,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPTNMLRJLHLGFCQ17CC,31,22.87,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPQNMLOJLHLGFCQ56CC,33,161.77,住家用,鋼筋混凝土造,81年10月7日,三層,,
RPSOMLRJLHLGFCQ17CC,31,3.76,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPTNMLRJLHLGFCQ17CC,31,3.98,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPRNMLRJLHLGFCQ96CC,31,21.07,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPRNMLRJLHLGFCQ96CC,31,3.76,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPVNMLRJLHLGFCQ37CC,31,14.32,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPPNMLOJLHLGFCQ09CC,33,103.08,集合住宅,鋼筋混凝土造,82年2月17日,五層,,
RPPNMLOJLHLGFCQ09CC,33,10.13,共有部分,鋼筋混凝土造,82年2月17日,五層,,
RPRNMLKLLHLGFCQ09CC,31,21.08,住家用,鋼筋混凝土造,84年8月15日,五層,,
RPRNMLKLLHLGFCQ09CC,31,3.76,共有部分,鋼筋混凝土造,84年8月15日,五層,,
RPPNMLTKLHLGFBQ96CC,32,193.13,店舖、住宅,鋼筋混凝土造,83年3月31日,四層,,
RPRNMLNKLHLGFBQ56CC,23,16.50,住商用,鋼筋混凝土造,92年8月5日,四層,,
RPPNMLPJLHLGFBQ09CC,20,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLPJLHLGFBQ09CC,20,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLPJLHLGFBQ09CC,20,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
