鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
麟洛鄉,土地,麟仁段935地號,32.9,住,,,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1568014,47660,,0.0,0,政府機關標讓售；,RPWNMLNLLHLGFAT27DA,0.0,0.0,0.0,無,
麟洛鄉,土地,麟仁段932地號,88.88,住,,,1150311,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4236021,47660,,0.0,0,政府機關標讓售；,RPXNMLNLLHLGFAT37DA,0.0,0.0,0.0,無,
九如鄉,土地,九如段668地號,1990.0,,特定農業區,農牧用地,1150309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,3015,,0.0,0,,RPQNMLKMLHLGFAT09DA,0.0,0.0,0.0,無,001
長治鄉,房地(土地+建物),屏東縣長治鄉新潭巷２６之６號,80.88,住,,,1150323,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830728,165.41,4,2,3,有,無,6278000,37954,,0.0,0,其他增建；,RPTNMLKMLHLGFAT76DA,160.11,5.3,0.0,無,
潮州鎮,土地,五福段355-8地號,32.89,住,,,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1578720,48000,,0.0,0,政府機關標讓售；,RPQNMLNKLHLGFCT76DA,0.0,0.0,0.0,無,
內埔鄉,土地,豐田段1088-3地號,311.68,都市：其他:農業區,,,1150302,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,2118,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPOOMLSKLHLGFCT17DA,0.0,0.0,0.0,無,
內埔鄉,土地,和興段264地號,483.6,都市：其他:住宅區,,,1150309,土地13建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,2481,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRLLHLGFCT47DA,0.0,0.0,0.0,無,
內埔鄉,土地,北寧段143-11地號,362.62,,,,1150313,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3839000,10587,,0.0,0,,RPUNMLRLLHLGFCT67DA,0.0,0.0,0.0,無,002
車城鄉,土地,新車城段682地號,5771.96,,一般農業區,農牧用地,1150319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6720000,1164,,0.0,0,,RPSNMLQLLHLGFET57DA,0.0,0.0,0.0,無,
牡丹鄉,土地,沙里央段24-147地號,15080.25,,森林區,林業用地,1150326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,20,,0.0,0,,RPUNMLQLLHLGFET77DA,0.0,0.0,0.0,無,
屏東市,土地,新街段二小段360地號,84.0,商,,,1150320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4200000,50000,,0.0,0,未登記建物；,RPQNMLKMLHLGFAT56EA,0.0,0.0,0.0,無,003
屏東市,房地(土地+建物),屏東縣屏東巿崇勇街３１巷１０號,74.0,住,,,1150306,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0740125,97.09,4,2,4,有,無,9000000,92697,,0.0,0,頂樓加蓋；,RPSNMLPLLHLGFAT07DA,97.09,0.0,0.0,無,004
屏東市,土地,新街段一小段491地號,29.0,商,,,1150305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,835000,28793,,0.0,0,未登記建物；,RPVNMLPLLHLGFAT37DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿瑞華街４２巷４６號,15.02,住,,,1150320,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131225,47.269999999999996,1,1,1,有,有,4900000,103660,,0.0,0,,RPQOMLQLLHLGFAT07DA,30.84,0.0,0.0,有,005
內埔鄉,土地,文化段36-6地號,527.42,,河川區,農牧用地,1150310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,2086,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPLLHLGFCT07DA,0.0,0.0,0.0,無,006
竹田鄉,土地,新勢段550地號,1776.0,,特定農業區,農牧用地,1150301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5420000,3052,,0.0,0,,RPUNMLLMLHLGFCT17DA,0.0,0.0,0.0,無,
恆春鎮,建物,屏東縣恆春鎮山海路１１之７號,0.0,,,,1150320,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0890531,96.36,6,4,2,有,無,2500000,25944,,0.0,0,建物坐落地號：山海段152地號；其他增建；,RPPNMLKMLHLGFET76DA,88.9,7.46,0.0,無,
滿州鄉,土地,束段119地號,246.0,,國家公園區,,1150319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1110000,4512,,0.0,0,土地增值稅由買方負擔,RPRNMLKMLHLGFET96DA,0.0,0.0,0.0,無,
