編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLQLLHLGFAT07DA,1,30.84,集合住宅,鋼筋混凝土造,113年12月25日,五層,一層,全筆移轉
RPQOMLQLLHLGFAT07DA,1,16.43,本共有部分之項目包括：停車空間、管委會使用空間、車道、管理員室、電信室、梯間、樓梯間、昇降機械室、機房、水箱、昇降機間等１１項。,鋼筋混凝土造,113年12月25日,五層,,持分移轉
RPTNMLKMLHLGFAT76DA,32,165.41,住商用,鋼筋混凝土造,83年7月28日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPRNMLQKLHLGFAT96DA,30,59.90,住家用,鋼筋混凝土造,85年5月23日,八層,六層 陽台,全筆移轉
RPRNMLQKLHLGFAT96DA,30,28.43,防空避難室，停車空間，梯間,鋼筋混凝土造,85年5月23日,八層,,持分移轉
RPSNMLPLLHLGFAT07DA,41,97.09,住商用,鋼筋混凝土造,74年1月25日,三層,一層 二層 三層,全筆移轉
RPTNMLKMLHLGFAT86EA,16,215.42,住家用,鋼筋混凝土造,99年3月26日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPPNMLKMLHLGFET76DA,26,96.36,住家用,鋼筋混凝土造,89年5月31日,二層,一層 二層 屋頂突出物,全筆移轉
RPPNMLLMLHLGFCT66DA,57,170.40,住宅,磚造,58年2月23日,三層,一層 二層 三層,全筆移轉
RPPNMLLMLHLGFAT09DA,26,91.81,集合住宅,鋼筋混凝土造,88年12月4日,十四層,八層 陽台,全筆移轉
RPPNMLLMLHLGFAT09DA,26,52.81,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPPNMLOLLHLGFAT66DA,31,76.42,住家用,鋼筋混凝土造,84年6月28日,七層,六層 陽台 花台,全筆移轉
RPPNMLOLLHLGFAT66DA,31,26.80,集合住宅，防空避難室，停車空間,鋼筋混凝土造,84年6月28日,七層,,持分移轉
RPSOMLMJMHLGFCT96DA,10,642.99,停車空間、店舖、住宅,鋼筋混凝土構造,105年7月25日,二層,一層 二層 陽台 騎樓 見其他登記事項,全筆移轉
RPQNMLLJMHLGFCT56DA,1,63.40,集合住宅,鋼筋混凝土造,114年1月13日,八層,六層 陽台,全筆移轉
RPQNMLLJMHLGFCT56DA,1,36.62,本共有部分之項目有停車空間、樓電梯間、管委會、垃圾暫存室、車道、管委會外廊、樓梯間、機械室及水箱等九項。,鋼筋混凝土造,114年1月13日,八層,,持分移轉
RPUNMLKLLHLGFCT96DA,1,39.04,本共有部分之項目有停車空間及共同樓梯間等二項。,鋼筋混凝土造,114年6月19日,五層,,持分移轉
RPUNMLKLLHLGFCT96DA,1,66.25,集合住宅,鋼筋混凝土造,114年6月19日,五層,三層 陽台,全筆移轉
RPTNMLSJMHLGFAT37DA,41,89.91,住家用,鋼筋混凝土造,73年12月7日,三層,一層 二層 三層,全筆移轉
RPPNMLOJMHLGFAT56DA,,83.72,,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPTOMLLJMHLGFAT76DA,34,125.03,住家用,鋼筋混凝土造,81年8月1日,三層,一層 二層 三層,全筆移轉
RPPNMLRJMHLGFCT07DA,45,103.60,住商用,加強磚造,70年8月12日,二層,一層 二層 騎樓,全筆移轉
RPPOMLLJMHLGFCT56DA,22,6.15,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPOMLLJMHLGFCT56DA,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPOMLLJMHLGFCT56DA,22,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPPOMLLJMHLGFCT56DA,22,11.92,辦公室,鋼筋混凝土構造,93年7月12日,六層,四層 陽台,全筆移轉
RPUNMLLMLHLGFAT96DA,19,4.25,辦公室,鋼筋混凝土造,96年5月30日,八層,五層 陽台 雨遮,持分移轉
RPUNMLLMLHLGFAT96DA,19,3.81,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,,持分移轉
RPTNMLNLKHLGFAT86DA,4,102.02,住家用,鋼筋混凝土造,111年1月25日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPRNMLLMLHLGFCT86DA,2,13.01,本共有部分之項目有停車空間、管委會空間、梯間及樓梯間等四項。,鋼筋混凝土造,113年5月29日,五層,,持分移轉
RPRNMLLMLHLGFCT86DA,2,43.30,集合住宅,鋼筋混凝土造,113年5月29日,五層,一層,全筆移轉
RPUNMLKLLHLGFAT76DA,1,55.54,集合住宅,鋼筋混凝土造,114年1月22日,五層,二層 陽台,全筆移轉
RPUNMLKLLHLGFAT76DA,1,51.85,樓梯間、停車空間、電梯機房,鋼筋混凝土造,114年1月22日,五層,,持分移轉
RPPNMLRKLHLGFET27DA,1,86.78,Ｈ２：集合住宅,鋼筋混凝土造,114年7月15日,五層,四層 陽台,全筆移轉
RPPNMLRKLHLGFET27DA,1,15.41,００：公共梯間、樓梯間,鋼筋混凝土造,114年7月15日,五層,,持分移轉
RPPNMLPKLHLGFAT66DA,1,76.02,集合住宅,鋼筋混凝土造,113年11月22日,五層,五層 陽台,全筆移轉
RPPNMLPKLHLGFAT66DA,1,35.59,本共有部分之項目有管委會使用空間、停車空間、電信室、安全梯、管道間、昇降機、梯廳、樓梯間等８項。,鋼筋混凝土造,113年11月22日,五層,,持分移轉
RPVNMLRLLHLGFAT57DA,32,153.44,住商用,鋼筋混凝土造,83年2月4日,三層,一層 二層 三層 陽台 平台 屋頂突出物 騎樓 雨遮,全筆移轉
RPUNMLQJLHLGFCT37DA,33,169.38,住家用,鋼筋混凝土造,82年8月7日,四層,一層 二層 三層 四層 陽台 騎樓 見使用執照,全筆移轉
RPSOMLQKLHLGFAT17DA,1,141.21,住家用,鋼筋混凝土造,113年9月3日,三層,一層 二層 三層 陽台,全筆移轉
RPTOMLMJMHLGFCT07DA,14,175.87,住家用,鋼筋混凝土構造,101年4月5日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLMJMHLGFET76DA,27,124.36,住家用,鋼筋混凝土造,87年11月20日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLKMLHLGFAT66DA,32,91.39,住家用,鋼筋混凝土造,83年6月30日,六層,三層 陽台,全筆移轉
RPSNMLKMLHLGFAT66DA,32,25.91,停車空間，梯間,鋼筋混凝土造,83年6月30日,六層,,持分移轉
RPQNMLMKLHLGFCT66DA,32,165.39,住家用,鋼筋混凝土造,82年10月30日,三層,一層 二層 三層 屋頂突出物 見其他登記事項,全筆移轉
RPVOMLKMLHLGFCT27DA,2,201.72,集合住宅,鋼筋混凝土造,113年7月5日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLQLLHLGFCT07DA,27,193.53,住家用,鋼筋混凝土造,87年10月2日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPQNMLQLKHLGFCT07DA,32,32.51,防空避難室停車場開放空間,鋼筋混凝土造,83年4月7日,十層,,持分移轉
RPQNMLQLKHLGFCT07DA,32,17.07,梯間水箱機械室,鋼筋混凝土造,83年4月7日,十層,,持分移轉
RPQNMLQLKHLGFCT07DA,32,97.27,住家用,鋼筋混凝土造,83年4月7日,十層,四層 陽台,全筆移轉
RPPNMLKMLHLGFDT76EA,46,67.05,農舍,加強磚造,69年4月28日,一層,一層,全筆移轉
RPPNMLQLLHLGFAT86DA,27,82.70,集合住宅,鋼筋混凝土造,88年2月12日,七層,六層 陽台,全筆移轉
RPPNMLQLLHLGFAT86DA,27,44.02,集合住宅、防空避難室、停車空間、機械室、台電受電室、樓梯間、蓄水池、停車空間、梯間,鋼筋混凝土造,88年2月12日,七層,,持分移轉
RPVNMLLJMHLGFAT86DA,10,209.94,住商用,鋼筋混凝土造,104年11月27日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLQLLHLGFET27DA,47,146.28,住家用,鋼筋混凝土加強磚造,68年3月16日,二層,一層 二層 騎樓,全筆移轉
RPTNMLPLLHLGFCT37DA,4,37.72,本共有部分之項目有停車空間、公共梯間、電信機房及樓梯間等四項。,鋼筋混凝土構造,110年12月10日,五層,,持分移轉
RPTNMLPLLHLGFCT37DA,4,76.28,集合住宅,鋼筋混凝土構造,110年12月10日,五層,三層 陽台,全筆移轉
RPUPMLOJKHLGFAT07DA,46,81.76,住家用,加強磚造,68年9月8日,二層,一層 二層,全筆移轉
RPQNMLOJMHLGFAT66DA,7,2718.94,畜牧設施,鋼骨構造,107年9月27日,一層,一層,全筆移轉
RPUNMLRJMHLGFAT37DA,1,268.47,住家用,鋼筋混凝土造,113年7月31日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPVNMLRJMHLGFAT47DA,1,211.29,住家用,鋼筋混凝土造,113年7月31日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSNMLQLLHLGFAT17DA,5,194.68,住家用,鋼筋混凝土造,109年12月2日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLMJMHLGFDT76DA,46,77.50,住家用,加強磚造,69年3月20日,二層,一層 二層,全筆移轉
RPPNMLRLLHLGFAT96DA,,76.12,集合住宅,鋼筋混凝土造,114年12月26日,五層,二層 陽台,全筆移轉
RPPNMLRLLHLGFAT96DA,,35.03,停車空間、公共梯間、電信室、樓梯間、電梯機械房,鋼筋混凝土造,114年12月26日,五層,,持分移轉
RPQNMLRLLHLGFAT07DA,,76.12,集合住宅,鋼筋混凝土造,114年12月26日,五層,四層 陽台,全筆移轉
