編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQLLHLGFAT07DA,香揚段一小段,15.02,都市：其他:住宅區,100000,89,持分移轉,00120000
RPQNMLKMLHLGFAT09DA,九如段,1990.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06680000
RPTNMLKMLHLGFAT76DA,潭頭段,80.88,都市：其他:住宅區,1,1,全筆移轉,01480000
RPRNMLQKLHLGFAT96DA,萬年段,14.52,都市：其他:住宅區,10000,379,持分移轉,00730000
RPWNMLNLLHLGFAT27DA,麟仁段,32.90,都市：其他:住宅區,1,1,全筆移轉,09350000
RPSNMLPLLHLGFAT07DA,洛陽段,74.00,都市：其他:住宅區,1,1,全筆移轉,08320004
RPXNMLNLLHLGFAT37DA,麟仁段,15.04,都市：其他:住宅區,1,1,全筆移轉,09180001
RPXNMLNLLHLGFAT37DA,麟仁段,24.53,都市：其他:住宅區,1,1,全筆移轉,09300000
RPXNMLNLLHLGFAT37DA,麟仁段,49.31,都市：其他:住宅區,1,1,全筆移轉,09320000
RPVNMLPLLHLGFAT37DA,新街段一小段,29.00,都市：其他:商業區,1,1,全筆移轉,04910000
RPSNMLQLLHLGFET57DA,新車城段,1382.90,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06810000
RPUNMLQLLHLGFET77DA,沙里央段,9996.92,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,00240147
RPSNMLQLLHLGFET57DA,新車城段,4389.06,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06820000
RPUNMLQLLHLGFET77DA,四林段,5083.33,非都市：山坡地保育區 ; 非都市編定：林業用地,3,1,持分移轉,15120000
RPRNMLKMLHLGFET96DA,猪朥束段,246.00,非都市：國家公園區 ; 非都市編定：,3,2,持分移轉,01190000
RPRNMLKLLHLGFET86DA,四林段,2220.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,15650000
