鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
豐濱鄉,土地,豐濱段126-2地號,3107.0,,山坡地保育區,農牧用地,1150408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,97,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農業設施；,RPSNMLSJMHLGFBU47DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中正路二段２４２之７號,47.79,,特定農業區,甲種建築用地,1150306,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130215,138.7,3,2,4,有,無,11300000,81471,,0.0,0,,RPPNMLKMLHLGFAU09DA,117.04,0.0,21.66,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉安路五段３１號,297.44,,特定農業區,農牧用地,1150317,土地1建物1車位0,全,一層,透天厝,其他,鋼骨或鋼骨混合造,1130916,169.8,0,0,0,無,無,6500000,38280,,0.0,0,農業設施；,RPUNMLLMLHLGFAU07DA,169.8,0.0,0.0,無,
富里鄉,土地,富豐段1916地號,2554.09,,山坡地保育區,農牧用地,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,157,,0.0,0,,RPPNMLLJMHLGFCU66EA,0.0,0.0,0.0,無,
富里鄉,土地,民南段370地號,2595.18,,一般農業區,農牧用地,1150305,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,1156,,0.0,0,,RPQNMLLJMHLGFCU76EA,0.0,0.0,0.0,無,01
吉安鄉,房地(土地+建物),花蓮縣吉安鄉自立路一段１０６號,126.73,住,,,1150306,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1150203,263.15,3,2,4,有,無,26000000,98803,,0.0,0,,RPVNMLMKLHLGFAU07DA,250.78,0.0,12.37,有,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉廣興一街１７０巷６號四樓之九,30.73,,特定農業區,甲種建築用地,1150305,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141218,114.64,2,2,2,有,無,7260000,62327,一樓平面,13.4,950000,,RPRNMLRLLHLGFAU27DA,65.28,0.0,11.19,有,
瑞穗鄉,土地,瑞祥段928地號,1204.68,,一般農業區,農牧用地,1150310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,2324,,0.0,0,農作物；,RPPNMLLJMHLGFCU56DA,0.0,0.0,0.0,無,02
壽豐鄉,土地,東升段127地號,12500.0,,風景區,農牧用地,1150318,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,80,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMJMHLGFAU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段７３０號三樓之三,5.63,住,,,1150319,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,39.56,1,0,1,有,有,2000000,50556,,0.0,0,陽台外推；,RPTNMLLMLHLGFAU96DA,23.34,0.36,6.66,有,03
花蓮市,房地(土地+建物),花蓮縣花蓮市國富二十街９６號二樓之一,11.04,住,,,1150331,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840710,42.44,2,1,1,有,有,2300000,54194,,0.0,0,,RPQNMLMJMHLGFAU56DA,30.64,0.0,3.26,有,
秀林鄉,土地,威里段343地號,9094.19,,山坡地保育區,林業用地,1150306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,49,,0.0,0,,RPQNMLKMLHLGFAU56DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市介智街２７號,84.0,住,,,1150307,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880701,191.4,5,3,4,有,無,11000000,57471,,0.0,0,一樓空地增建頂樓加蓋；其他增建；,RPSNMLLMLHLGFAU86DA,164.55,0.0,26.85,無,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東安街８巷７號,452.87,,鄉村區,乙種建築用地,1150309,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050106,428.93,6,2,5,有,有,25380000,59170,,0.0,0,其他增建；包含公共設施保留地用地；,RPVNMLMJMHLGFAU07DA,407.62,0.0,21.31,無,04
