編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJMHLGFCU56DA,瑞祥段,300.69,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09240000
RPPNMLLJMHLGFCU56DA,瑞祥段,903.99,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09280000
RPPNMLSJMHLGFCU27DA,玉昌段,146.00,都市：其他:商業區,1,1,全筆移轉,16730000
RPRNMLRJMHLGFAU17DA,烏杙段,138.32,,43350,10290,持分移轉,03290003
RPRNMLRJMHLGFAU17DA,烏杙段,7.60,,43350,10290,持分移轉,03290004
RPUNMLLMLHLGFAU07DA,南華段,297.44,非都市：特定農業區 ; 非都市編定：農牧用地,7,1,持分移轉,00760000
RPRNMLRJMHLGFAU17DA,烏杙段,11.37,,43350,10290,持分移轉,03290006
RPRNMLRJMHLGFAU17DA,烏杙段,23.81,,43350,10290,持分移轉,03290007
RPPNMLKMLHLGFAU09DA,仁和段,47.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,1284,持分移轉,06700000
RPTNMLLMLHLGFAU96DA,自強段,5.63,都市：住,10000,34,持分移轉,00140000
RPVNMLMKLHLGFAU07DA,慈惠段,126.73,都市：住,1,1,全筆移轉,10150022
RPRNMLRLLHLGFAU27DA,永興段,30.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,204,持分移轉,04130000
RPQNMLKMLHLGFAU56DA,威里段,9094.19,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03430000
RPSNMLSJMHLGFBU47DA,豐濱段,3107.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01260002
RPVNMLMJMHLGFAU07DA,萬壽段一小段,16.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01530060
RPVNMLMJMHLGFAU07DA,萬壽段一小段,401.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01530066
RPVNMLMJMHLGFAU07DA,萬壽段一小段,4.46,非都市：鄉村區 ; 非都市編定：交通用地,1941,12,持分移轉,01580003
RPVNMLMJMHLGFAU07DA,萬壽段一小段,7.93,非都市：鄉村區 ; 非都市編定：交通用地,1941,12,持分移轉,01640002
RPVNMLMJMHLGFAU07DA,萬壽段一小段,16.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1941,12,持分移轉,01750000
RPVNMLMJMHLGFAU07DA,萬壽段一小段,6.50,非都市：鄉村區 ; 非都市編定：特定目的事業用地,1941,12,持分移轉,01760010
RPSNMLLMLHLGFAU86DA,碧雲段,84.00,都市：住,1,1,全筆移轉,05160029
RPTNMLMJMHLGFAU86DA,宜安段,567.25,都市：商,2364000,567250,持分移轉,06550000
RPQNMLMJMHLGFAU56DA,莊敬段,11.04,都市：住,1000,60,持分移轉,02360000
RPRNMLMJMHLGFAU66DA,宜安段,128.01,都市：商,2364000,128007,持分移轉,06550000
RPQNMLRJMHLGFAU07DA,光華段二小段,1322.32,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01620000
RPQNMLSLLHLGFAU27DA,稻香段,1466.00,都市：農,1,1,全筆移轉,02870000
RPQNMLSLLHLGFAU27DA,稻香段,1910.00,都市：農,1,1,全筆移轉,02880000
