鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
台東市,土地,富岡南段1161-2地號,234.89,,鄉村區,乙種建築用地,1150306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,23415,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLRLLHLGFAV47DA,0.0,0.0,0.0,無,
池上鄉,土地,大同段1040地號,511.77,農,,,1150313,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,880000,1720,,0.0,0,共有人，農地買賣,RPPNMLKMLHLGFCV86EA,0.0,0.0,0.0,無,01
台東市,房地(土地+建物),臺東縣台東市祥和路４７號,106.16,住,,,1150323,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820308,138.15,4,3,2,有,無,8980000,65002,,0.0,0,其他增建；,RPQNMLNLLHLGFAV86DA,138.15,0.0,0.0,無,02
關山鎮,房地(土地+建物),臺東縣關山鎮崁頂１０３號之１,2112.38,農,,,1150316,土地10建物1車位0,全,一層,透天厝,住家用,磚石造蓋鐵皮,0600906,153.89,3,2,1,有,無,9000000,58483,,0.0,0,未登記建物；,RPPNMLLMLHLGFCV86DA,153.89,0.0,0.0,無,03
台東市,房地(土地+建物),臺東縣台東市更生路４３巷１１號三樓,50.25,住,,,1150309,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0710204,89.08000000000001,2,2,1,有,無,4500000,50516,,0.0,0,含傢俱設備費；其他增建；,RPQNMLKKLHLGFAV09DA,74.15,0.0,0.0,無,
台東市,土地,台東段235-10地號,15.0,住,,,1150326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,26667,,0.0,0,,RPTNMLOLLHLGFAV27DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市漢陽南路１５５巷１５號,142.06,住,,,1150306,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780906,140.21,6,1,6,有,無,11500000,82020,,0.0,0,含傢俱設備費；其他增建；,RPPNMLMJMHLGFAV56DA,126.41,13.8,0.0,無,04
卑南鄉,土地,利家段3171地號,530.0,,山坡地保育區,農牧用地,1150304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,124000,234,,0.0,0,地清或未辦繼承標售；,RPRNMLMJMHLGFAV76DA,0.0,0.0,0.0,無,
台東市,土地,台東段3-780地號,31.56,住,,,1150310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,31686,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMJMHLGFAV86DA,0.0,0.0,0.0,無,
